id,collection,dc.contributor.author[],dc.date.accessioned[],dc.date.available[],dc.date.issued[],dc.description.abstract[es_MX],dc.description.provenance[en],dc.format[es_MX],dc.identifier.uri[],dc.language.iso[es_MX],dc.subject[es_MX],dc.title[es_MX],dc.type[es_MX]
fa161a50-68d4-4d09-8259-1f5264f89684,20.500.11972/1318,Escuela Agrícola e Industrial Mexicana,2021-04-22T21:52:19Z,2021-04-22T21:52:19Z,1945,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-04-22T21:52:19Z
No. of bitstreams: 1
ANUARIO 1945.pdf: 30440679 bytes, checksum: 8fe264e13394f67216e756bac20e7b76 (MD5)||Made available in DSpace on 2021-04-22T21:52:19Z (GMT). No. of bitstreams: 1
ANUARIO 1945.pdf: 30440679 bytes, checksum: 8fe264e13394f67216e756bac20e7b76 (MD5)
  Previous issue date: 1945",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1319,spa,Vida estudiantil,Alfa - Anuario 1945,
6e5422e5-5050-496d-9379-51425a0373cf,20.500.11972/1318,Escuela Agrícola e Industrial Mexicana,2021-04-22T23:17:40Z,2021-04-22T23:17:40Z,1948,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-04-22T23:17:40Z
No. of bitstreams: 1
ANUARIO 1948.pdf: 22796517 bytes, checksum: 8b4a39a53d484a11b16352ca2f3006d6 (MD5)||Made available in DSpace on 2021-04-22T23:17:40Z (GMT). No. of bitstreams: 1
ANUARIO 1948.pdf: 22796517 bytes, checksum: 8b4a39a53d484a11b16352ca2f3006d6 (MD5)
  Previous issue date: 1948",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1320,spa,,Albores - Anuario 1948,info:eu-repo/semantics/bachelorThesis
739ca179-e32c-4942-93a2-4729dd3499d3,20.500.11972/1321,Colegio Vocacional y Profesional Montemorelos,2021-05-06T21:29:55Z,2021-05-06T21:29:55Z,1951,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-05-06T21:29:55Z
No. of bitstreams: 1
Anuario 1951.pdf: 24330071 bytes, checksum: 01e4f98aeb9f7b34b8afd957e5946bbb (MD5)||Made available in DSpace on 2021-05-06T21:29:55Z (GMT). No. of bitstreams: 1
Anuario 1951.pdf: 24330071 bytes, checksum: 01e4f98aeb9f7b34b8afd957e5946bbb (MD5)
  Previous issue date: 1951",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1322,spa,,Albores - Anuario 1951,
4fdb2525-b593-4d62-91fc-87bb495c8db6,20.500.11972/1321,Hospital y Sanatorio Montemorelos,2021-06-22T15:48:22Z,2021-06-22T15:48:22Z,1959,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-06-22T15:48:22Z
No. of bitstreams: 1
COFIA Y AZAHARES 1959.pdf: 76195215 bytes, checksum: e5533e33104a63e9affeef774d803533 (MD5)||Made available in DSpace on 2021-06-22T15:48:22Z (GMT). No. of bitstreams: 1
COFIA Y AZAHARES 1959.pdf: 76195215 bytes, checksum: e5533e33104a63e9affeef774d803533 (MD5)
  Previous issue date: 1959",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1375,spa,,Cofia y Azahares 1959,info:eu-repo/semantics/bachelorThesis
628366f0-5b6a-495f-862a-2bb2998e95df,20.500.11972/1321,Colegio Vocacional y Profesional Montemorelos,2021-05-06T21:44:18Z,2021-05-06T21:44:18Z,1952,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-05-06T21:44:18Z
No. of bitstreams: 1
Anuario 1952.pdf: 23818782 bytes, checksum: a4b3dd35b6ed12818d527113a8dacbe9 (MD5)||Made available in DSpace on 2021-05-06T21:44:18Z (GMT). No. of bitstreams: 1
Anuario 1952.pdf: 23818782 bytes, checksum: a4b3dd35b6ed12818d527113a8dacbe9 (MD5)
  Previous issue date: 1952",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1323,spa,,Anuario 1952,info:eu-repo/semantics/bachelorThesis
fd00ba40-8975-466a-95b8-f87b1a430e36,20.500.11972/1321,Colegio Vocacional y Profesional Montemorelos,2021-05-18T23:20:02Z,2021-05-18T23:20:02Z,1957,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-05-18T23:20:01Z
No. of bitstreams: 1
Anuario 1957.pdf: 32466386 bytes, checksum: 5942a32ffaf6a35b467a7ba9e6246dd0 (MD5)||Made available in DSpace on 2021-05-18T23:20:02Z (GMT). No. of bitstreams: 1
Anuario 1957.pdf: 32466386 bytes, checksum: 5942a32ffaf6a35b467a7ba9e6246dd0 (MD5)
  Previous issue date: 1957",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1324,spa,,Calmecac - Anuario 1957,info:eu-repo/semantics/bachelorThesis
d51fc3d5-959f-4346-ab92-59c8552c971e,20.500.11972/1321,Hospital y Sanatorio Montemorelos,2021-05-25T22:07:35Z,2021-05-25T22:07:35Z,1957,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-05-25T22:07:35Z
No. of bitstreams: 1
ANUARIO COFIA Y AZHARES 1957.pdf: 74570203 bytes, checksum: 358d2b8001ebb224af70b246f80c76c4 (MD5)||Made available in DSpace on 2021-05-25T22:07:35Z (GMT). No. of bitstreams: 1
ANUARIO COFIA Y AZHARES 1957.pdf: 74570203 bytes, checksum: 358d2b8001ebb224af70b246f80c76c4 (MD5)
  Previous issue date: 1957",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1325,spa,,"Cofia y Azahares. Décimo aniversario ""Hospital y Sanatorio Montemorelos""",
2d02fea0-3458-4ba1-b8e2-bf1b86ebfe2b,20.500.11972/1321,Colegio Vocacional y Profesional Montemorelos,2021-05-25T22:37:54Z,2021-05-25T22:37:54Z,1959,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-05-25T22:37:53Z
No. of bitstreams: 1
ANUARIO AZTECA 1959.pdf: 35248539 bytes, checksum: 3cb504389a18eeaa894e08393c2cea68 (MD5)||Made available in DSpace on 2021-05-25T22:37:54Z (GMT). No. of bitstreams: 1
ANUARIO AZTECA 1959.pdf: 35248539 bytes, checksum: 3cb504389a18eeaa894e08393c2cea68 (MD5)
  Previous issue date: 1959",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1326,spa,,Azteca - Anuario 1959,
185cbe62-06d5-41a4-a6df-59141f5d5acf,20.500.11972/1321,Colegio Vocacional y Profesional Montemorelos,2021-05-25T23:14:08Z,2021-05-25T23:14:08Z,1958,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-05-25T23:14:08Z
No. of bitstreams: 1
ANUARIO AZTECA 1958.pdf: 43857098 bytes, checksum: d9d23c7b55b5f1c244d525d19cc7a16e (MD5)||Made available in DSpace on 2021-05-25T23:14:08Z (GMT). No. of bitstreams: 1
ANUARIO AZTECA 1958.pdf: 43857098 bytes, checksum: d9d23c7b55b5f1c244d525d19cc7a16e (MD5)
  Previous issue date: 1958",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1327,spa,,Azteca - Anuario 1958,info:eu-repo/semantics/bachelorThesis
b471a2e8-2148-455c-b80d-72cb9f3ffd52,20.500.11972/1328,Colegio Vocacional y Profesional Montemorelos,2021-06-21T20:20:24Z,2021-06-21T20:20:24Z,1967,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-06-21T20:20:24Z
No. of bitstreams: 1
ANUARIO- VIDA ESTUDIANTIL 1967.pdf: 38683792 bytes, checksum: 3c2015f29a74a7918e95cc1f82c9138c (MD5)||Made available in DSpace on 2021-06-21T20:20:24Z (GMT). No. of bitstreams: 1
ANUARIO- VIDA ESTUDIANTIL 1967.pdf: 38683792 bytes, checksum: 3c2015f29a74a7918e95cc1f82c9138c (MD5)
  Previous issue date: 1967",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1374,spa,,Vida Estudiantil 1967,info:eu-repo/semantics/bachelorThesis
d9faeb6c-5294-43f9-bdfb-44fad41fd4fc,20.500.11972/1328,Colegio Vocacional y Profesional Montemorelos,2021-06-22T20:26:31Z,2021-06-22T20:26:31Z,1969,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-06-22T20:26:31Z
No. of bitstreams: 1
Anuario 1969.pdf: 101042291 bytes, checksum: 96f6ba84ff1453c31542154b28fd5210 (MD5)||Made available in DSpace on 2021-06-22T20:26:31Z (GMT). No. of bitstreams: 1
Anuario 1969.pdf: 101042291 bytes, checksum: 96f6ba84ff1453c31542154b28fd5210 (MD5)
  Previous issue date: 1969",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1376,spa,,Vida Estudiantil 1969,info:eu-repo/semantics/bachelorThesis
2c38fc59-b736-4909-aa95-e61e1db65da0,20.500.11972/1328,Colegio Vocacional y Profesional Montemorelos,2021-06-04T17:40:08Z,2021-06-04T17:40:08Z,1961,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-06-04T17:40:07Z
No. of bitstreams: 1
Anuario-Azteca 1961.pdf: 42227829 bytes, checksum: 37239cb21326448e432e239cd575fb43 (MD5)||Made available in DSpace on 2021-06-04T17:40:08Z (GMT). No. of bitstreams: 1
Anuario-Azteca 1961.pdf: 42227829 bytes, checksum: 37239cb21326448e432e239cd575fb43 (MD5)
  Previous issue date: 1961",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1356,spa,,Azteca - Anuario 1961,info:eu-repo/semantics/bachelorThesis
d6febc8a-711e-4015-a2be-244ba20f3cce,20.500.11972/1328,Colegio Vocacional y Profesional Montemorelos,2021-06-30T23:25:33Z,2021-06-30T23:25:33Z,1968,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-06-30T23:25:33Z
No. of bitstreams: 1
Anuario Vida Estudiantil 1968.pdf: 47960290 bytes, checksum: 46d838f9d67516aa989262ba379102d8 (MD5)||Made available in DSpace on 2021-06-30T23:25:33Z (GMT). No. of bitstreams: 1
Anuario Vida Estudiantil 1968.pdf: 47960290 bytes, checksum: 46d838f9d67516aa989262ba379102d8 (MD5)
  Previous issue date: 1968",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1379,spa,,Vida Estudiantil 1968,info:eu-repo/semantics/bachelorThesis
5789f09e-8e4e-4328-9470-4ae3056a4c84,20.500.11972/1328,Colegio Vocacional y Profesional Montemorelos,2021-06-01T17:21:50Z,2021-06-01T17:21:50Z,1964,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-06-01T17:21:50Z
No. of bitstreams: 1
anuario 1964 azteca.pdf: 40800652 bytes, checksum: 9f8b2e7bf0822775dc505a9b64e976ea (MD5)||Made available in DSpace on 2021-06-01T17:21:50Z (GMT). No. of bitstreams: 1
anuario 1964 azteca.pdf: 40800652 bytes, checksum: 9f8b2e7bf0822775dc505a9b64e976ea (MD5)
  Previous issue date: 1964",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1329,spa,,Azteca - Anuario 1964,info:eu-repo/semantics/bachelorThesis
5f965323-e36d-437a-9101-faad182f99f5,20.500.11972/1377,Asociación Estudiantil Universidad de Montemorelos,2021-07-21T23:17:47Z,2021-07-21T23:17:47Z,1975,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-07-21T23:17:47Z
No. of bitstreams: 1
ANUARIO-1975.pdf: 107767944 bytes, checksum: cb1920e928d35cf30e62ce6f20b8d72d (MD5)||Made available in DSpace on 2021-07-21T23:17:47Z (GMT). No. of bitstreams: 1
ANUARIO-1975.pdf: 107767944 bytes, checksum: cb1920e928d35cf30e62ce6f20b8d72d (MD5)
  Previous issue date: 1975",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1382,spa,,Anuario 1975,info:eu-repo/semantics/bachelorThesis
