id,collection,dc.contributor.advisor[],dc.contributor.author[],dc.date.accessioned[],dc.date.available[],dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_MX],dc.description.provenance[en],dc.format[es_MX],dc.identifier.uri[],dc.language.iso[es_MX],dc.subject[],dc.subject[es_MX],dc.title[],dc.title[es_MX],dc.type[es_MX]
3230b161-2cca-4d5c-8e3d-76a0d8492e19,20.500.11972/529,"Melo, Walter","Izaguirre Cervantes, Bienvenida Nohemí.",2018-09-11T22:10:12Z,2018-09-11T22:10:12Z,2013,"Por medio de esta tesis se entiende que en la UMN existe interés por hacer radio online; además, la
mayoría de los interesados están involucrados en las actividades de comunicación
de la lASO y se cuenta con el acceso a la tecnología. Aunque carecen de conocimientos
sobre el mantenimiento y la tecnología necesarios en este tipo de proyectos
y aunque en la experiencia se notó que existen problemas organizacionales y econó-
micos, es posible realizar planes de capacitación para superar estos problemas.",Licenciatura en Ciencias de la Comunicación,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T22:10:12Z
No. of bitstreams: 1
Tesis Bienvenida Nohemí Izaguirre Cervantes.pdf: 42752762 bytes, checksum: 174c507f9df0dba2ab427c6083d2ed18 (MD5)||Made available in DSpace on 2018-09-11T22:10:12Z (GMT). No. of bitstreams: 1
Tesis Bienvenida Nohemí Izaguirre Cervantes.pdf: 42752762 bytes, checksum: 174c507f9df0dba2ab427c6083d2ed18 (MD5)
  Previous issue date: 2013",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/548,spa,,Medios de comunicación de masas en religión||Radio en religión||Adventistas del Séptimo Día - Programas de radio||Radiodifusión||Internet,,Análisis de la viabilidad de la creación de emisoras online con fines evangelísticos en la Unión Mexicana del Norte,info:eu-repo/semantics/masterThesis
3f31c93b-8d70-4a05-88c5-b6dd492f8222,20.500.11972/529,"Nascimento, Matheus","Cerón Ramírez, Brenda M.",2018-10-01T21:06:23Z,2018-10-01T21:06:23Z,2015,"Esta tesis hace mención sobre la importancia de reflejar
la identidad corporativa en los sitios web de las uniones del territorio de la División
Interamericana de la IASD y aporta un instrumento de evaluación para medir la integración en
calidad y contenido que pudiera ser aplicado en otras divisiones, uniones y asociaciones de la
IASD.",Licenciatura en Comunicación y Medios,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2018-10-01T21:06:23Z
No. of bitstreams: 1
CM Brenda Ceron.pdf: 18062643 bytes, checksum: d4d44134d297b4235d394364784f31f6 (MD5)||Made available in DSpace on 2018-10-01T21:06:23Z (GMT). No. of bitstreams: 1
CM Brenda Ceron.pdf: 18062643 bytes, checksum: d4d44134d297b4235d394364784f31f6 (MD5)
  Previous issue date: 2015",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/960,spa,,Páginas web||Adventistas del Séptimo Día,,Análisis de los elementos gráficos comunes y contenidos utilizados por los sitios web de uniones de la división interamericana de la Iglesia Adventista del Séptimo Día,info:eu-repo/semantics/bachelorThesis
eb3ee0bb-6d58-44d7-930d-a707dadee470,20.500.11972/529,"López Aguirre, Rubí Janet","Gallardo Ramírez, Ingrid Betsabé",2018-10-02T15:49:59Z,2018-10-02T15:49:59Z,2015,"Esta tesis responde a las líneas de investigación tres y cuatro que es parte
del proyecto titulado ''De la exposición a la venta''. Modelo de emprendimiento creativo e
innovador para la producción y venta de diseño y arte, Promovido por la Escuela de
Artes y comunicación, para la implementación de una prueba piloto de taller creativos
en la Universidad de Montemorelos.",Licenciatura en Diseño de Comunicación Visual,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2018-10-02T15:49:59Z
No. of bitstreams: 1
CV Ingrid Gallardo.pdf: 1418951 bytes, checksum: 51300e7e65d6ba67cbba67cfbaf3e51d (MD5)||Made available in DSpace on 2018-10-02T15:49:59Z (GMT). No. of bitstreams: 1
CV Ingrid Gallardo.pdf: 1418951 bytes, checksum: 51300e7e65d6ba67cbba67cfbaf3e51d (MD5)
  Previous issue date: 2015",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/963,spa,,Aptitud creadora - Enseñanza,,Importancia y beneficios de impulsar un taller de creatividad para alumnos de la escuela de artes y comunicación de la UM,info:eu-repo/semantics/bachelorThesis
f0310bee-d287-44b9-b565-b7fb590d40a7,20.500.11972/529,"Valencia, Roberto","Silva Reyes, Hazzel Karolina",2018-10-02T15:55:57Z,2018-10-02T15:55:57Z,2015,"Esta tesis no pretende motivar al estudiante a que dedique más horas practicando
videojuegos, sino a utilizar algunas herramientas y sistemas que los juegos utilizan para captar
la atención necesaria y lograr los resultados esperados en la materia. Si los juegos se basan en
sistemas, estos pueden motivar al alumno a pensar sistemáticamente.",Licenciatura en Diseño de Comunicación Visual,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2018-10-02T15:55:57Z
No. of bitstreams: 1
CV Hazzel Karolina Silva Reyes.pdf: 2522748 bytes, checksum: 6f915ad1686d3d1badae1b6220b50d77 (MD5)||Made available in DSpace on 2018-10-02T15:55:57Z (GMT). No. of bitstreams: 1
CV Hazzel Karolina Silva Reyes.pdf: 2522748 bytes, checksum: 6f915ad1686d3d1badae1b6220b50d77 (MD5)
  Previous issue date: 2015",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/964,spa,,Diseño de libros - Enseñanza||Gamificación,,Sistema visual de competencias para una prueba piloto de gamification en el aprendizaje de diseño editorial,info:eu-repo/semantics/bachelorThesis
264c52ca-8db6-4937-8365-20ab37945128,20.500.11972/529,"Valencia, Roberto","Rodríguez Cañedo, Verónica",2018-10-02T16:13:09Z,2018-10-02T16:13:09Z,2015,"Esta tesis busca el análisis en la situación de los activos digitales que se manejan
en la instituciones educativas al momento de crear o participar en exámenes o pruebas
de admisión en linea, con énfasis en la creación de un recurso de esta índole para la
escuela de medicina, creando interfaces, elementos gráficos y constituyendo un
archivo donde todos estos reglamentos puedan servir para otro tipo de activos digitales
venideros.",Licenciatura en Diseño de Comunicación Visual,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2018-10-02T16:13:09Z
No. of bitstreams: 1
CV Verónica Rodriguez.pdf: 974831 bytes, checksum: 2c941b2c5e644c74aae4e2920fd553b2 (MD5)||Made available in DSpace on 2018-10-02T16:13:09Z (GMT). No. of bitstreams: 1
CV Verónica Rodriguez.pdf: 974831 bytes, checksum: 2c941b2c5e644c74aae4e2920fd553b2 (MD5)
  Previous issue date: 2015",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/966,spa,,Interfaces con el usuario (Sistemas para computador)||Exámenes de admisión a la universidad,,"Estandarización de Elementos de UI, en activos digitales en exámenes o pruebas de admisión online",info:eu-repo/semantics/bachelorThesis
a2f9609e-8c7d-4a5f-97ae-515eba4b78e1,20.500.11972/529,"Nascimento, Matheus","Hernández Pérez, Rabí Eduardo",2018-10-01T20:48:43Z,2018-10-01T20:48:43Z,2015,"El
análisis propuesto, conlleva una lista de elementos ligados con la ética profesional práctica de
periodistas influyentes, dando como resultado un artículo de investigación nutrido, defendiendo
el periodismo comprometido y apasionado, en contraposición de la actual tendencia periodística,
basada en favores políticos, una ética corrupta y una cultura consumista de noticias y personajes.
Miguel Ángel Granados Chapa fue uno de los grandes personajes que ha tenido una importante
influencia, un luchador por la libertad de expresión y la democratización.",Licenciatura en Comunicación y Medios,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2018-10-01T20:48:43Z
No. of bitstreams: 1
CM Rabí Hernández.pdf: 284455 bytes, checksum: 78dd09b5bd7e04acddd6bb8dbdc498fe (MD5)||Made available in DSpace on 2018-10-01T20:48:43Z (GMT). No. of bitstreams: 1
CM Rabí Hernández.pdf: 284455 bytes, checksum: 78dd09b5bd7e04acddd6bb8dbdc498fe (MD5)
  Previous issue date: 2015",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/955,spa,,"Granados Chapa, Miguel Ángel,  - 1941-2011||Periodismo - México",,"El alcance del periodista mexicano Miguel Ángel Granados Chapa, según el enfoque de Silvia Cherem, ganadora del premio nacional de periodismo (2005) y Humberto Musacchio, periodista e investigador",info:eu-repo/semantics/bachelorThesis
43b75769-b838-4b94-b154-2624c044caea,20.500.11972/529,"Armenta Alvarez, Asseneth","Citalán Enríquez, Cesia Eilen",2018-10-01T21:04:56Z,2018-10-01T21:04:56Z,2015,"Esta tesis tuvo como finalidad, identificar los parámetros y
características a seguir para ilustrar imágenes adecuadas para el público infantil,
resaltando las bases y la importancia de éstas en el ámbito editorial.",Licenciatura en Artes Visuales,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2018-10-01T21:04:56Z
No. of bitstreams: 1
AV Eilen Citalan.pdf: 842332 bytes, checksum: e5e66b670647cb935d493e659d082a59 (MD5)||Made available in DSpace on 2018-10-01T21:04:56Z (GMT). No. of bitstreams: 1
AV Eilen Citalan.pdf: 842332 bytes, checksum: e5e66b670647cb935d493e659d082a59 (MD5)
  Previous issue date: 2015",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/959,spa,,Literatura infantil||Ilustración de libros,,Parámetros al realizar ilustraciones infantiles para la industria editorial,info:eu-repo/semantics/bachelorThesis
0f323645-4c83-4e50-a55b-eeceabf0cb54,20.500.11972/529,"Díaz Rincón, Jorge André","Bautista Romero, Harif",2018-10-01T21:07:33Z,2018-10-01T21:07:33Z,2015,"El propósito de esta tesis fue la de explorar la posición e idea que tienen los
empleados y alumnos que forman parte de la congregación de la iglesia universitaria en la
Universidad de Montemorelos con referencia al cine como una herramienta para la
divulgación del evangelio.",Licenciatura en Comunicación y Medios,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2018-10-01T21:07:33Z
No. of bitstreams: 1
CM Harif Bautista.pdf: 1304633 bytes, checksum: 368f4037e05757b083aab77300bb2f8f (MD5)||Made available in DSpace on 2018-10-01T21:07:33Z (GMT). No. of bitstreams: 1
CM Harif Bautista.pdf: 1304633 bytes, checksum: 368f4037e05757b083aab77300bb2f8f (MD5)
  Previous issue date: 2015",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/961,spa,,Cinematografía,"Recolección y análisis sobre el uso y posicionamiento de la herramienta cinematográfica
en empleados y alumnos que pertenecen a la Iglesia de la Universidad de Montemorelos,
durante el primer semestre del año 2015.",,
a8d3b156-0bbe-4065-8b26-dff69e2d7308,20.500.11972/529,"Díaz Rincón, Jorge André","Jiménez Pérez, Irene",2018-10-01T21:12:12Z,2018-10-01T21:12:12Z,2015,"Esta tesis hace parte del proyecto “Plataforma de
emprendimiento evangelístico a través del cine. El séptimo Arte como medio de
comunicación eficaz para el evangelismo de retención en la Iglesia Adventista del Séptimo
Día”, dirigido por Jorge André Díaz Rincón. Dicha investigación mayor tiene como
objetivo proveer las condiciones y parámetros adecuados para el uso del cine como
herramienta eficaz para el evangelismo de retención, en la Iglesia Adventista del Séptimo
Día.",Licenciatura en Artes y Comunicación,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2018-10-01T21:12:12Z
No. of bitstreams: 1
CM Irene Jimenez.pdf: 1060253 bytes, checksum: f0cc0947d6d0cdea131fe38e02906ef2 (MD5)||Made available in DSpace on 2018-10-01T21:12:12Z (GMT). No. of bitstreams: 1
CM Irene Jimenez.pdf: 1060253 bytes, checksum: f0cc0947d6d0cdea131fe38e02906ef2 (MD5)
  Previous issue date: 2015",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/962,spa,,Aparatos audiovisuales||Comunicación audiovisual||Enseñanza audiovisual||Tecnología educativa,,"Relación de cuatro dispositivos electrónicos (teléfono inteligente, tablet, computadora y proyector) con la comprensión del mensaje de un producto audiovisual para estudiantes de último semestre de la escuela preparatoria Ignacio Carrillo Franco en el 1er semestre de 2015",info:eu-repo/semantics/bachelorThesis
016a8cbb-224f-44f9-9f4a-b754f3556268,20.500.11972/529,"Díaz Rincón, Jorge André","Sosa Martínez, Jorge Arturo",2018-10-01T20:48:35Z,2018-10-01T20:48:35Z,2015,"El resultado obtenido por medio de la realización de este proyecto demuestra que la producción
 de audiovisuales para evangelismo interno y externo no es solamente beneficiosa para los que
 lo miran, sino también para los que lo producen, a diferencia de otro tipo de métodos, como
 las predicaciones, los libros y otros medios de producción más individualista.",Licenciatura en Artes Visuales,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2018-10-01T20:48:35Z
No. of bitstreams: 1
CM Jorge Sosa.pdf: 8905404 bytes, checksum: 139170e192b45db749131962d310e940 (MD5)||Made available in DSpace on 2018-10-01T20:48:35Z (GMT). No. of bitstreams: 1
CM Jorge Sosa.pdf: 8905404 bytes, checksum: 139170e192b45db749131962d310e940 (MD5)
  Previous issue date: 2015",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/954,spa,,Comunicación audiovisual||Adventistas del Séptimo Día||Tabernáculo | Vida cristiana,,Acercamiento a dos creencias fundamentales de la Iglesia Adventista mediante la expresión audiovisual (22- conducta cristiana y 24 ministerio de cristo en el santuario celestial),info:eu-repo/semantics/bachelorThesis
