id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_MX],dc.description.provenance[en],dc.format[es_MX],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[es_MX],dc.subject[],dc.subject[es_MX],dc.title[es_MX],dc.type[es_MX]
dde77442-3416-44ba-8044-df5a03065cfb,20.500.11972/14,"de Guzman Miranda, Juan Carlos Nino",,"Jean-Charles, William Joseph",,2021-06-17T19:23:33Z,,2021-06-17T19:23:33Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-17T19:23:33Z
No. of bitstreams: 1
TESIS WILLIAM JOSEPH JEAN CHARLES.pdf: 2110496 bytes, checksum: 7a6318eaea3ceee557b558bbb0d7c0da (MD5)||Made available in DSpace on 2021-06-17T19:23:33Z (GMT). No. of bitstreams: 1
TESIS WILLIAM JOSEPH JEAN CHARLES.pdf: 2110496 bytes, checksum: 7a6318eaea3ceee557b558bbb0d7c0da (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1373,,eng,,Pendiente por asignar,Factors affecting church members retention in the Texas Conference of Seventh-Day Adventists,info:eu-repo/semantics/doctoralThesis
840279c7-30f8-4095-8ea0-1783076aa10e,20.500.11972/14,"Gonzales Urbina, Pedro Armengol",,"Hamidan, Trenton",,2021-06-17T19:21:09Z,,2021-06-17T19:21:09Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-17T19:21:09Z
No. of bitstreams: 1
TESIS TRENTON HAMIDAN.pdf: 1673167 bytes, checksum: 4165045e766185c901695e830ab90949 (MD5)||Made available in DSpace on 2021-06-17T19:21:09Z (GMT). No. of bitstreams: 1
TESIS TRENTON HAMIDAN.pdf: 1673167 bytes, checksum: 4165045e766185c901695e830ab90949 (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1372,,eng,,Pendiente por asignar,Factors that predict the financial performance of Montemorelos University as reflected by perception of students,info:eu-repo/semantics/doctoralThesis
469d8881-71cf-4fe7-b112-da5390d7286f,20.500.11972/14,,"Gonzales Urbina, Pedro Armengol",,"Palmer, Delceta",,2021-06-02T16:56:10Z,,2021-06-02T16:56:10Z,,2020,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-02T16:56:10Z
No. of bitstreams: 1
TESIS DELCETA PALMER.pdf: 1736998 bytes, checksum: 0a425bdf5aba4caf54774694740aa975 (MD5)||Made available in DSpace on 2021-06-02T16:56:10Z (GMT). No. of bitstreams: 1
TESIS DELCETA PALMER.pdf: 1736998 bytes, checksum: 0a425bdf5aba4caf54774694740aa975 (MD5)
  Previous issue date: 2020",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1330,spa,,Pendiente por asignar,"Effect of quality of service, caregivers' job satisfaction and competitive advantage component on outpatient dialysis centers in New York city",info:eu-repo/semantics/doctoralThesis
469e9e5c-c734-4046-92a6-834a328e2880,20.500.11972/14,"Basurto Gutiérrez, Karla Sarai",,"Saint Louis, Ernst",,2021-06-16T20:09:17Z,,2021-06-16T20:09:17Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T20:09:17Z
No. of bitstreams: 1
TESIS ERNST SAINT.pdf: 1981940 bytes, checksum: 297258ed92c9e90189bd84b877cb2ded (MD5)||Made available in DSpace on 2021-06-16T20:09:17Z (GMT). No. of bitstreams: 1
TESIS ERNST SAINT.pdf: 1981940 bytes, checksum: 297258ed92c9e90189bd84b877cb2ded (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1361,,eng,,Pendiente por asignar,Factors affecting church retention of young adults in the Northeastern and Greater New York Conferences of Seventh Day Adventists,info:eu-repo/semantics/doctoralThesis
74472132-a1e6-4e01-8151-0fcf62d2cf58,20.500.11972/14,"Pilgrim, Stephen",,"D’Haiti, Frantz",,2021-06-16T20:14:50Z,,2021-06-16T20:14:50Z,,2019,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T20:14:50Z
No. of bitstreams: 1
TESIS FRANK D'HAITI.pdf: 2045319 bytes, checksum: 86dd9773eb4b4398f20b9a92f3d0d6e6 (MD5)||Made available in DSpace on 2021-06-16T20:14:50Z (GMT). No. of bitstreams: 1
TESIS FRANK D'HAITI.pdf: 2045319 bytes, checksum: 86dd9773eb4b4398f20b9a92f3d0d6e6 (MD5)
  Previous issue date: 2019",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1362,,eng,,Pendiente por asignar,Factors that influenced parents’ satisfaction in the elementary and secondary Seventh-Day schools within the territory of New York,info:eu-repo/semantics/doctoralThesis
1a28a87a-e101-4dbd-9af7-38c9616cd067,20.500.11972/14,,"Gonzales Urbina, Pedro Armengol",,"Rocher Pierre, Jean",,2020-08-12T21:08:55Z,,2020-08-12T21:08:55Z,,2017,"""
SOS Marketing Services es una empresa que vende servicios a través de su programa de integración grupal que tiene como objetivo integrar líderes activos en los planes de compensación disponibles. En el marco de sus actividades, los distribuidores de las redes de comercialización tendrán la posibilidad de realizar ingresos rápidos tanto con los sistemas a desarrollar como con el programa disponible. Gracias a este nuevo enfoque de marketing para el desarrollo sostenible, los distribuidores de redes de marketing descubrirán una nueva forma de abordar las oportunidades comerciales en línea. Para la implementación de este proyecto se realizó un estudio de mercado para asegurar su adaptación e implementación en el mercado haitiano. Los ejecutivos de la empresa necesitarán seis meses para comenzar a operar.""",Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2020-08-12T21:08:55Z
No. of bitstreams: 1
TESIS DE MAESTRÍA EN ADMINISTRACIÓN DE JEAN ROCHER PIERRE (1).pdf: 744968 bytes, checksum: 77490f8fd780d36d7a4821d50bf72275 (MD5)||Made available in DSpace on 2020-08-12T21:08:55Z (GMT). No. of bitstreams: 1
TESIS DE MAESTRÍA EN ADMINISTRACIÓN DE JEAN ROCHER PIERRE (1).pdf: 744968 bytes, checksum: 77490f8fd780d36d7a4821d50bf72275 (MD5)
  Previous issue date: 2017",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1272,spa,Mercadeo por internet – Haití,Negocios – Planeación – Haití,Plan d’affairesde l’entreprise sos marketing services pour faciliter l'application rapide des systemes network marketing en Haiti,info:eu-repo/semantics/doctoralThesis
e298bcd9-56a0-4ea0-913a-608a8a5aadfb,20.500.11972/14,"Niño de Guzman, Juan Carlos",,"Amstrong, Jean-Charles",,2021-06-16T19:16:21Z,,2021-06-16T19:16:21Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T19:16:21Z
No. of bitstreams: 1
TESIS AMSTRONG JEAN CHARLES.pdf: 1929843 bytes, checksum: eb11eb853fb4e8d52515efd6c365e09e (MD5)||Made available in DSpace on 2021-06-16T19:16:21Z (GMT). No. of bitstreams: 1
TESIS AMSTRONG JEAN CHARLES.pdf: 1929843 bytes, checksum: eb11eb853fb4e8d52515efd6c365e09e (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1357,,eng,,Pendiente por asignar,Factors affecting the economic performance of small and medium enterprise in the North of Haiti,info:eu-repo/semantics/doctoralThesis
2d8c7418-065c-4b8d-ae0f-a42dda4b56eb,20.500.11972/14,"Basurto Gutiérrez, Karla Saraí",,"Donald, Paul",,2021-06-16T19:20:38Z,,2021-06-16T19:20:38Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T19:20:38Z
No. of bitstreams: 1
TESIS DONALD PAUL.pdf: 2611220 bytes, checksum: dafe9c75d99e62ed1326da4befb2dc4e (MD5)||Made available in DSpace on 2021-06-16T19:20:38Z (GMT). No. of bitstreams: 1
TESIS DONALD PAUL.pdf: 2611220 bytes, checksum: dafe9c75d99e62ed1326da4befb2dc4e (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1358,,spa,,Pendiente por asignar,Factors that contribute to greater church performance for the Seventh-Day Adventist Church in the Southeastern Conference,info:eu-repo/semantics/doctoralThesis
eda30db5-e4ed-4628-a210-8c259e5562fc,20.500.11972/14,"Basurto Gutiérrez, Karla Saraí",,"Saint Louis, Ernst",,2021-06-16T20:01:29Z,,2021-06-16T20:01:29Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T20:01:29Z
No. of bitstreams: 1
TESIS ERNST SAINT.pdf: 1981940 bytes, checksum: 297258ed92c9e90189bd84b877cb2ded (MD5)||Made available in DSpace on 2021-06-16T20:01:29Z (GMT). No. of bitstreams: 1
TESIS ERNST SAINT.pdf: 1981940 bytes, checksum: 297258ed92c9e90189bd84b877cb2ded (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1360,,eng,,Pendiente por asignar,Factors affecting church retention of young adults in the Northeastern and Greater New York Conferences of Seventh Day Adventists,info:eu-repo/semantics/doctoralThesis
87ed70b1-0bac-424d-9663-5bf370bce596,20.500.11972/14,"Sánchez Valdez, José Antonio",,"Lauther, Donovan Antonio",,2021-06-16T19:46:09Z,,2021-06-16T19:46:09Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T19:46:09Z
No. of bitstreams: 1
TESIS DONOVAN ANTONIO LAUTHER.pdf: 2320963 bytes, checksum: 85c97ab2b98e4e2909c95af53892bd1a (MD5)||Made available in DSpace on 2021-06-16T19:46:09Z (GMT). No. of bitstreams: 1
TESIS DONOVAN ANTONIO LAUTHER.pdf: 2320963 bytes, checksum: 85c97ab2b98e4e2909c95af53892bd1a (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1359,,eng,,Pendiente por asignar,Factors affecting retention of the members of the linden of Seventh-Day Adventists Church in New York,info:eu-repo/semantics/doctoralThesis
0fcbb084-e0a1-476a-bea4-bb9885de9c23,20.500.11972/14,"del Valle López, Jair Arody",,"Cantave, Joel",,2021-06-16T20:22:42Z,,2021-06-16T20:22:42Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T20:22:42Z
No. of bitstreams: 1
TESIS JOEL CANTAVE.pdf: 2195329 bytes, checksum: 2822141e435331d149e8d5681052e9ae (MD5)||Made available in DSpace on 2021-06-16T20:22:42Z (GMT). No. of bitstreams: 1
TESIS JOEL CANTAVE.pdf: 2195329 bytes, checksum: 2822141e435331d149e8d5681052e9ae (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1363,,eng,,Pendiente por asignar,"Predictive model of factors affecting stewardship in the Haitian Seventh-Day Adventist churches of the Northeastern Conference in Brooklyn, New York",info:eu-repo/semantics/doctoralThesis
40989a11-e26b-44b0-b3df-08156d07ed93,20.500.11972/14,"del Valle López, Jair Arody",,"Ferary, Reynold",,2021-06-16T20:54:42Z,,2021-06-16T20:54:42Z,,2020,,,"A causal model for financial satisfaction in the Seventh-Day Adventist churches in Edmonton Alberta, Canada","Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T20:54:42Z
No. of bitstreams: 1
TESIS REYNOLDS FERARY.pdf: 1968629 bytes, checksum: 63c4aa7abe5bc1a279a46bbd192e1069 (MD5)||Made available in DSpace on 2021-06-16T20:54:42Z (GMT). No. of bitstreams: 1
TESIS REYNOLDS FERARY.pdf: 1968629 bytes, checksum: 63c4aa7abe5bc1a279a46bbd192e1069 (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1366,,eng,,Pendiente por asignar,"A causal model for financial satisfaction in the Seventh-Day Adventist churches in Edmonton Alberta, Canada",info:eu-repo/semantics/doctoralThesis
8a0832a7-85c6-4a57-a036-b3e821853296,20.500.11972/14,"Sanchez Valdez, Jose Antonio",,"Augustave, Mario P.",,2021-06-16T20:31:38Z,,2021-06-16T20:31:38Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T20:31:38Z
No. of bitstreams: 1
TESIS MARIO AUGUSTAVE.pdf: 2414453 bytes, checksum: 7eb3a0f26a7f009068d4796e9eca7cb8 (MD5)||Made available in DSpace on 2021-06-16T20:31:38Z (GMT). No. of bitstreams: 1
TESIS MARIO AUGUSTAVE.pdf: 2414453 bytes, checksum: 7eb3a0f26a7f009068d4796e9eca7cb8 (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1364,,eng,,Pendiente por asignar,"Factors which affect quality of life in Haiti as seen by country directors, staff and government employees affiliated with Ingos",info:eu-repo/semantics/doctoralThesis
70570ba8-53f2-4dbd-8eed-049934a2dc7a,20.500.11972/14,"Charles, Marie",,"Jean, Robert",,2021-06-16T21:38:10Z,,2021-06-16T21:38:10Z,,2020,,,Doctorado en Administración de Negocios,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-16T21:38:10Z
No. of bitstreams: 1
TESIS ROBERT JEAN CHARLES.pdf: 1955513 bytes, checksum: f6fb89608ff2964142ed1b88fc7e3d21 (MD5)||Made available in DSpace on 2021-06-16T21:38:10Z (GMT). No. of bitstreams: 1
TESIS ROBERT JEAN CHARLES.pdf: 1955513 bytes, checksum: f6fb89608ff2964142ed1b88fc7e3d21 (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1367,,eng,,Pendiente por asignar,Key predictors of church growth in greater New York Conference,info:eu-repo/semantics/doctoralThesis
