id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_MX],dc.description.provenance[en],dc.format[es_MX],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[es_MX],dc.subject[],dc.subject[es_MX],dc.title[es_MX],dc.type[es_MX]
99e7f0c1-23f8-4aca-af15-7d22fd780fee,20.500.11972/18,,"Valle López, Jair Arody del",,"Girarte Guillén, José Luis",,2020-07-08T17:07:44Z,,2020-07-08T17:07:44Z,,2020,"Esta investigación fue de corte empírico, exploratorio, cuantitativo, descriptivo, explicativo/correlacional y transversal. La población estuvo conformada por docentes de una universidad privada del noreste de México y se tomó en cuenta el total de escuelas y facultades. Al momento de llevar a cabo este trabajo, la planta docente estaba conformada por 177 profesores. Se buscó que fuera un censo (N = 177), no fue obligatorio responder, de esta manera, la muestra poblacional alcanzada fue del 75 % de las encuestas (n = 133). El proceso estadístico sustantivo se basó en un modelo de ecuaciones estructurales (SEM). Resultados El modelo estructural exploratorio propuesto para esta investigación presenta índices de bondad de ajuste aceptables (X2 = 11.263, p de X2 = .422, X2/gl = 1.024, RMSEA = .015, RMR = .015, GFI = .973, AGFI = .930, NFI = .961, CFI = .999). Estos resultados, que cumplieron todos los criterios de ajuste especificados, son indicadores de una bondad de ajuste muy aceptable para el modelo estructural exploratorio en esta investigación. El modelo muestra la carga factorial por dimensiones de la siguiente forma: constructo habilidades informativas: necesidad de información, .63; búsqueda y recuperación, .84. Del constructo actitudes hacia la investigación: actitud afectiva, .81; actitud cognoscitiva, .45; y actitud conductual, .68. Para el constructo competencia hacia la investigación: problema de investigación, .77; y marco metodológico, .79.",Doctorado en Gestión Educativa,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2020-07-08T17:07:44Z
No. of bitstreams: 1
TESIS DOCTORAL JOSÉ LUIS GIRARTE.pdf: 8106646 bytes, checksum: 5bb02b205e720aba1488488f271d5337 (MD5)||Made available in DSpace on 2020-07-08T17:07:44Z (GMT). No. of bitstreams: 1
TESIS DOCTORAL JOSÉ LUIS GIRARTE.pdf: 8106646 bytes, checksum: 5bb02b205e720aba1488488f271d5337 (MD5)
  Previous issue date: 2020",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1265,spa,Universitarios,Investigación,Modelo de asociación entre factores predictores  de las competencias para la investigación  en docentes universitarios,info:eu-repo/semantics/doctoralThesis
82ae8954-8503-4cbe-8ff5-acaabbd3bea1,20.500.11972/18,,"Grajales, Tevni",,"Valderrama Rincón, Alberto",,2021-01-15T00:24:05Z,,2021-01-15T00:24:05Z,,2002,"La presente investigación pretendió determinar en qué medida el clima percibido en el hogar, el clima percibido en la escuela y el clima percibido en la iglesia; la estructura familiar, el contexto socioeconómico, la religiosidad y el género; en presencia del esfuerzo que el alumno hace para representarse bien socialmente, son factores que en su conjunto, O en parte, se relacionan con el grado de virtud que dicen haber alcanzado los estudiantes de educación media de la ciudad de Medellín (Colombia), en el año 2002. Esta investigación se puede identificar como empírica de carácter descriptivo, explicativo, correlacional multivariada y transversal. La población estuvo constituida por estudiantes de educación media de la ciudad de Medellín, Colombia. Se utilizaron dos instrumentos, el Cuestionario de Valoración de la Virtud de Loehrer (L VAQ) y el Cuestionario Concepto del Estudiante. En general se encontró que existen cuatro grandes fuerzas que se relacionan con el grado de virtud reportado por los estudiantes de educación media de la ciudad de Medellín.",Doctorado en Educación,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-01-15T00:24:05Z
No. of bitstreams: 1
Tesi AlbertoValderrama.pdf: 5308612 bytes, checksum: 9e38813b867e17699f2ec3b9af5247a6 (MD5)||Made available in DSpace on 2021-01-15T00:24:05Z (GMT). No. of bitstreams: 1
Tesi AlbertoValderrama.pdf: 5308612 bytes, checksum: 9e38813b867e17699f2ec3b9af5247a6 (MD5)
  Previous issue date: 2002",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1294,spa,,Educación||Aspectos sociales||Educación media||Colombia,"Factores relacionados con el grado de virtud en estudiantes de educación media de Medellín, Colombia",info:eu-repo/semantics/doctoralThesis
f30b622a-aca9-47d6-8051-22910864676e,20.500.11972/18,"León Vásquez, Vicente",,"Meza Escobar, Fernando Alfonso",,2020-04-29T15:30:23Z,,2020-04-29T15:30:23Z,,2011,,"Esta investigación es de tipo exploratoria, descriptiva, y multivariada y cuantitativa. Participaron todos los estudiantes de tercer grado de las preparatorias adventistas de México. Se construyó un instrumento especialmente para la medición de los constructos del modelo. Se obtuvieron los valores de confiabilidad utilizando el método Alfa de Cronbach: (a) marketing (.891), imagen (.906), apoyo de padres (.902) y actitud de demanda (.934) Se encontró que la imagen institucional es la variable que más aporta a la actitud de demanda, seguido por el apoyo de los padres; el marketing educativo resultó con el mínimo aporte con el supuesto de quedar incluido en la variable imagen institucional. Con base en estos resultados se rechazó parcialmente la hipótesis nula.",Doctorado en Educación,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2020-04-29T15:30:23Z
No. of bitstreams: 1
Tesis Fernando A. Meza Escobar.pdf: 1817197 bytes, checksum: 34d47a5941e7f30786adfe25b4e97d59 (MD5)||Made available in DSpace on 2020-04-29T15:30:23Z (GMT). No. of bitstreams: 1
Tesis Fernando A. Meza Escobar.pdf: 1817197 bytes, checksum: 34d47a5941e7f30786adfe25b4e97d59 (MD5)
  Previous issue date: 2011",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1222,,spa,,Mercadeo de servicios||Asistencia a la universidad||Comunidad y universidad||Universidades y colegios adventistas,"El marketing educativo, la imagen institucional y el apoyo de los padres como predictores de la actitud de demanda de la educación universitaria adventista",info:eu-repo/semantics/doctoralThesis
50d21902-be63-4465-9b73-9dc0e0499b5c,20.500.11972/18,,"Korniejczuk, Víctor Andrés",,"Pérez, Francisco",,2020-10-28T20:47:25Z,,2020-10-28T20:47:25Z,,2020,"La investigación fue de tipo correlacional, no experimental y transversal. La población de este estudio estuvo formada por los estudiantes de séptimo grado de las escuelas públicas de Chalatenango, con una población de 120 alumnos, 82 varones y 38 señoritas, con edades que oscilaba entre los 11 y los 17 años. Por tanto, la unidad de análisis fue el estudiante de séptimo grado de educación básica. Se utilizaron la Escala de Uso Problemático y Generalizado de Internet (GPIUS2), con un alfa de Cronbach de .824, y la Escala de Actitud hacia el Trabajo Doméstico, con un alfa de Cronbach de .894. Luego de realizar los respectivos análisis, se concluyó que el uso problemático y generalizado de internet incide significativamente sobre la actitud hacia el trabajo doméstico de los alumnos de séptimo grado de las escuelas públicas de Chalatenango.",Maestría en Educación,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2020-10-28T20:47:25Z
No. of bitstreams: 1
TESIS DE MAESTRÍA EN EDUCACIÓN DE FRANCISCO PÉREZ ÁVALOS.pdf: 1032153 bytes, checksum: d8ff1043da53211be779b8775880dae8 (MD5)||Made available in DSpace on 2020-10-28T20:47:25Z (GMT). No. of bitstreams: 1
TESIS DE MAESTRÍA EN EDUCACIÓN DE FRANCISCO PÉREZ ÁVALOS.pdf: 1032153 bytes, checksum: d8ff1043da53211be779b8775880dae8 (MD5)
  Previous issue date: 2020",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1287,spa,Juventud – Vida espiritual – Adventistas del Séptimo Día,Juventud – Tabasco (México) – Adventistas del Séptimo Día,"Uso problemático de internet y actitud hacia el trabajo doméstico de los alumnos de séptimo grado de educación primaria de las escuelas públicas de Chalatenango, El Salvador",info:eu-repo/semantics/masterThesis
d0a9c77d-29f6-4c5d-82d5-f079d2732f3b,20.500.11972/18,,"Rodríguez Gómez, Jaime",,"Reyes Ramos, Humbertino",,2020-10-28T20:37:09Z,,2020-10-28T20:37:09Z,,2020,"Este trabajo es un estudio ex post facto basado en la administración de un instrumento a 334 docentes de 40 escuelas públicas, privadas, estatales, federales y técnicas ubicadas en los municipios de Allende, General Terán, Montemorelos, Rayones, Santiago, Linares y Hualahuises. El instrumento estuvo configurado por 142 reactivos o afirmaciones, tomando en cuenta como variable dependiente la implementación de la reforma educativa y como variable independiente, dosificada en los rubros de variables intrínsecas: actitud ante el cambio, motivación docente y desgaste profesional docente y variables extrínsecas: clima escolar, condiciones escolares y liderazgo transformacional y demográficas, como género de los encuestados, preparación y antigüedad laboral.  Los niveles de validez y confiabilidad fueron aceptables y los factores predictores significativos de la implementación de la reforma educativa en curso, de mayor a menor influencia predictiva, según los coeficientes beta estandarizados, fueron los siguientes: actitud hacia el cambio, liderazgo transformacional y motivación docente.",Doctorado en Gestión Curricular,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2020-10-28T20:37:08Z
No. of bitstreams: 1
TESIS DE MAESTRÍA EN EDUCACIÓN DE FRANCISCO PÉREZ ÁVALOS.pdf: 1032153 bytes, checksum: d8ff1043da53211be779b8775880dae8 (MD5)||Made available in DSpace on 2020-10-28T20:37:09Z (GMT). No. of bitstreams: 1
TESIS DE MAESTRÍA EN EDUCACIÓN DE FRANCISCO PÉREZ ÁVALOS.pdf: 1032153 bytes, checksum: d8ff1043da53211be779b8775880dae8 (MD5)
  Previous issue date: 2020",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1286,spa,Cambio educativo||Docentes,Educación secundaria,"Factores intrínsecos, extrínsecos y demográficos que son predictores para la implementación de una reforma educativa en los docentes de escuelas secundarias",info:eu-repo/semantics/doctoralThesis
13290b90-9687-40c6-a532-e8e7b6ddac4e,20.500.11972/18,"Trisca Martinez, Jorge Omar",,"Frăţilă Ţuţuianu, Mirela",,2021-06-02T22:23:11Z,,2021-06-02T22:23:11Z,,2019,,,Maestría en Educación,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-02T22:23:11Z
No. of bitstreams: 1
TESIS DE MAESTRIA EN EDUCACIÓN DE MIRELA TUTUIANU.pdf: 1105654 bytes, checksum: 8f8054bbe9260a3a14b76a7830ad153e (MD5)||Made available in DSpace on 2021-06-02T22:23:11Z (GMT). No. of bitstreams: 1
TESIS DE MAESTRIA EN EDUCACIÓN DE MIRELA TUTUIANU.pdf: 1105654 bytes, checksum: 8f8054bbe9260a3a14b76a7830ad153e (MD5)
  Previous issue date: 2019",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1344,,eng,,Pendiente por asignar,A study of the self-control in Romanian  preschool and primary school children,info:eu-repo/semantics/masterThesis
05cadfc3-4a6f-452c-9e8d-7fc7af631b37,20.500.11972/18,,"Salazar Rodríguez, Ana Lucrecia",,"Delgado Gonzalez, Mauricio",,2018-08-30T14:38:35Z,,2018-08-30T14:38:35Z,,2011,"La satisfacción laboral y los factores que se relacionan han sido estudiados bajo los enfoques de las teorías del contenido, proceso y situaciones.",Doctorado en Educación,"Submitted by Johan Joseph (1160240@alumno.um.edu.mx) on 2018-08-30T14:38:34Z
No. of bitstreams: 1
Tesis Mauricio Delgado Gonzalez.pdf: 164338435 bytes, checksum: c245b7dd5d727123ea223b080ba9aea2 (MD5)||Made available in DSpace on 2018-08-30T14:38:35Z (GMT). No. of bitstreams: 1
Tesis Mauricio Delgado Gonzalez.pdf: 164338435 bytes, checksum: c245b7dd5d727123ea223b080ba9aea2 (MD5)
  Previous issue date: 1994",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/275,spa,,Maestros||Adventistas del Séptimo Día||Educación||Personal docente||Satisfacción en el trabajo,Satisfacción laboral de docentes y directivos de escuelas adventistas de nivel básico y medio superior de México,info:eu-repo/semantics/masterThesis
a6a48bbd-16a0-402b-9a85-254ae34a050c,20.500.11972/18,,"Penniecook R., Myrtle",,"Caviedes Quintero, Gilbert",,2018-09-05T13:47:44Z,,2018-09-05T13:47:44Z,,1996,"El propósito de este estudio es determinar el efecto de la capacitación pedagógica del docente, en la actitud de los estudiantes dentro de un proceso de enseñanza-aprendizaje.",Doctorado en Educación,"Submitted by Johan Joseph (1160240@alumno.um.edu.mx) on 2018-09-05T13:47:44Z
No. of bitstreams: 1
Tesis Gilbert Caviedes Quintero.pdf: 106516355 bytes, checksum: 703be8b57adec2110e6b63634732f21e (MD5)||Made available in DSpace on 2018-09-05T13:47:44Z (GMT). No. of bitstreams: 1
Tesis Gilbert Caviedes Quintero.pdf: 106516355 bytes, checksum: 703be8b57adec2110e6b63634732f21e (MD5)
  Previous issue date: 1996",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/406,spa,,Enseñanza||Educación Superior||Práctica de la Enseñanza,Vista normal Vista MARC Vista ISBD Aplicación de la estrategia instruccional socrática por parte de docentes de educación superior y su efecto en la actitud del estudiante,info:eu-repo/semantics/masterThesis
3cf387c3-2a7d-4fd0-9cd8-ff8f25f77749,20.500.11972/18,,"Garcia Marenko, Emilio",,"Ruiloba Sibaja, Noel",,2018-09-06T14:19:50Z,,2018-09-06T14:19:50Z,,1997,"El problema de la presente investigación se expresa por medio de las siguientes preguntas: ¿Existe relación positiva significativa entre el compromiso religioso del estudiante de la UM, y un conjunto de seis variables curriculares?.",Doctorado en Educación,"Submitted by Johan Joseph (1160240@alumno.um.edu.mx) on 2018-09-06T14:19:50Z
No. of bitstreams: 1
Tesis Noel Ruiloba Sibaja.pdf: 153547155 bytes, checksum: 1be6cb372acb4e5aa904daa414368170 (MD5)||Made available in DSpace on 2018-09-06T14:19:50Z (GMT). No. of bitstreams: 1
Tesis Noel Ruiloba Sibaja.pdf: 153547155 bytes, checksum: 1be6cb372acb4e5aa904daa414368170 (MD5)
  Previous issue date: 1997",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/420,spa,,Educación cristiana||Filosofía,Variables curriculares selectas en el compromiso religioso de los universitarios,info:eu-repo/semantics/masterThesis
68ee12e2-ecbb-4bc0-b48d-8775d237c22c,20.500.11972/18,,"Ruiloba Sibaja, Noel",,"Ubiera Hunt, Letty Milosis",,2018-09-06T16:42:15Z,,2018-09-06T16:42:15Z,,1998,"El término educación de identifica frecuentemente con los de perfeccionamiento y formación y se vincula con actividades como preparación, reflexión asimilación de influencias extensas.",Doctorado en Educación,"Submitted by Johan Joseph (1160240@alumno.um.edu.mx) on 2018-09-06T16:42:15Z
No. of bitstreams: 1
Tesis Letty Milosis Ubiera Hunt.pdf: 101313196 bytes, checksum: 9cdf58da1c2f2c4f128b073f4c39e2c2 (MD5)||Made available in DSpace on 2018-09-06T16:42:15Z (GMT). No. of bitstreams: 1
Tesis Letty Milosis Ubiera Hunt.pdf: 101313196 bytes, checksum: 9cdf58da1c2f2c4f128b073f4c39e2c2 (MD5)
  Previous issue date: 1998",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/426,spa,,República Dominicana||Valores||Educación cristiana,Percepción estudiantil del ambiente áulico para educar en valores en las escuelas secundarias dominicanas,info:eu-repo/semantics/masterThesis
