id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_MX],dc.description.provenance[en],dc.format[es_MX],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[es_MX],dc.subject[],dc.subject[es_MX],dc.title[es_MX],dc.type[es_MX]
eb98f64e-2b0d-462e-814e-57c754c86cf7,20.500.11972/41,"Salazar Rodríguez, Ana Lucrecia",,"Romero Corral, Nohemí",,2021-03-11T16:54:31Z,,2021-03-11T16:54:31Z,,2020,,,Doctorado en Educación Familiar,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-03-11T16:54:31Z
No. of bitstreams: 1
Tesis de Doctorado en Educación Familiar de Nohemí Romero Corral.pdf: 7587299 bytes, checksum: 3d97cf2fdead8158379813050e0b1cda (MD5)||Made available in DSpace on 2021-03-11T16:54:31Z (GMT). No. of bitstreams: 1
Tesis de Doctorado en Educación Familiar de Nohemí Romero Corral.pdf: 7587299 bytes, checksum: 3d97cf2fdead8158379813050e0b1cda (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1299,,spa,,Pendiente por asignar,Prácticas religiosas y familia de origen en  las actitudes hacia la vida en pareja en  estudiantes de cinco Universidades Privadas y una Pública en México,info:eu-repo/semantics/doctoralThesis
2577b5a1-4a7c-410c-b5da-91ea9b982063,20.500.11972/41,"Romero Corral, Nohemí",,"Morales Rodríguez, Amelia del Carmen",,2021-03-31T20:29:29Z,,2021-03-31T20:29:29Z,,2020,,,Doctorado en Educación Familiar,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-03-31T20:29:29Z
No. of bitstreams: 1
TESIS DE MAESTRÍA EN RELACIONES FAMILIARES DE AMELIA DEL CARMEN MORALES RODRÍGUEZ.pdf: 865672 bytes, checksum: 416f681551405ae79094558f326caf36 (MD5)||Made available in DSpace on 2021-03-31T20:29:29Z (GMT). No. of bitstreams: 1
TESIS DE MAESTRÍA EN RELACIONES FAMILIARES DE AMELIA DEL CARMEN MORALES RODRÍGUEZ.pdf: 865672 bytes, checksum: 416f681551405ae79094558f326caf36 (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1302,,spa,,Pendiente por asignar,Conflicto interparental y conducta prosocial en alumnos  de secundaria y bachillerato de los Colegios de La Misión este de Tabasco,info:eu-repo/semantics/doctoralThesis
aa5a43f2-8c3c-4cf6-997f-1a219bcb9349,20.500.11972/41,,"Campos Madrigal, Susana",,"García López, José Luis",,2020-10-28T21:27:09Z,,2020-10-28T21:27:09Z,,2020,"La investigación fue empírica cuantitativa, descriptiva, correlacional, transversal. Se estudió la población de pastores y esposas que laboran en el territorio de la Unión Mexicana Interoceánica de los Adventistas del Séptimo Día. Se administró un instrumento a 194 participantes, distribuidos en ocho asociaciones y misiones. El proceso estadístico se basó en el modelo de ecuaciones estructurales, realizado en AMOS 6.0, t de Student y anova de un factor. El modelo de estructura muestra que existe una relación positiva significativa entre las variables satisfacción marital y religiosidad. En la medida que aumente la práctica de religiosidad, aumentará el nivel de satisfacción en las parejas. Esto proporciona suficiente evidencia para rechazar la hipótesis nula y aceptar la hipótesis de investigación. El factor que más contribuye a la satisfacción marital es la interacción marital y el factor que más aporta a la religiosidad es la religión adventista personal.",Doctorado en Educación Familiar,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2020-10-28T21:27:09Z
No. of bitstreams: 1
TESIS DE DOCTORADO EN EDUCACIÓN FAMILIAR DE JOSÉ LUIS GARCÍA LÓPEZ.pdf: 1450597 bytes, checksum: f0c57cd180f44f95304119de3100b86e (MD5)||Made available in DSpace on 2020-10-28T21:27:09Z (GMT). No. of bitstreams: 1
TESIS DE DOCTORADO EN EDUCACIÓN FAMILIAR DE JOSÉ LUIS GARCÍA LÓPEZ.pdf: 1450597 bytes, checksum: f0c57cd180f44f95304119de3100b86e (MD5)
  Previous issue date: 2020",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1292,spa,Pastores – Adventistas del Séptimo Día||Pastores – Vida religiosa,Matrimonio – Aspectos religiosos – Adventistas del Séptimo Día,Relación entre la religiosidad y la satisfacción  marital en pastores y esposas que laboran  en la Unión Mexicana Interoceánica de  los Adventistas del Séptimo Día,info:eu-repo/semantics/doctoralThesis
515cc8eb-08f2-4c05-9b69-7af657a8e577,20.500.11972/41,,"Estrada Miranda, Antonio",,"Dyck Gámez, Adan Abdiel",,2018-09-02T20:00:33Z,,2018-09-02T20:00:33Z,,2015,"El propósito del presente estudio es encontrar relación significativa entre la religiosidad de miembros casados de la Iglesia Adventista del Séptimo Día y su satisfacción matrimonial, así como identificar las dimensiones internas de ambas variables latentes y descubrir su relación entre sí. Se concluye que el presente estudio podría verse reflejado en la implementación de programas con un nuevo énfasis hacia la satisfacción matrimonial, por la promoción de valores y prácticas religiosas propias de la denominación. Entonces, existe una relación positiva medianamente fuerte entre la religiosidad y la satisfacción matrimonial.",Doctorado en Educación Familiar,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-02T20:00:33Z
No. of bitstreams: 1
Tesis Adan Abdiel Dyck Gámez.pdf: 5502708 bytes, checksum: 056795e5894567cb1f9ed4721facb5f7 (MD5)||Made available in DSpace on 2018-09-02T20:00:33Z (GMT). No. of bitstreams: 1
Tesis Adan Abdiel Dyck Gámez.pdf: 5502708 bytes, checksum: 056795e5894567cb1f9ed4721facb5f7 (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/317,spa,,Matrimonio||Vida cristiana,Modelo relacional entre factores de religiosidad y satisfacción matrimonial en los adventistas del séptimo día en la unión mexicana del norte,info:eu-repo/semantics/masterThesis
c292a7ab-e21f-4929-b951-ce4849bfbeae,20.500.11972/41,,"Estrada Miranda, Antonio",,"Mendoza Orgaz, Aurora",,2018-09-02T20:05:09Z,,2018-09-02T20:05:09Z,,2015,"El Instituto Nacional de Estadística y Geografía (INEGI), en el 2010, informó que la población en México era de 112 336 538 personas, de las cuales en el estado de Nuevo León había 4 653 458 habitantes y la población entre 15 y 19 años era de 400 000, correspondiendo el 50.1% a las mujeres y el 49.9% a los hombres. El modelo empírico en el que las variables latentes religiosidad y comunicación de los hijos con ambos padres explican la presencia de sintomatología depresiva en adolescentes de preparatoria en Montemorelos, N. L. ¿Posee una bondad de ajuste aceptable con el modelo teórico? Los hallazgos de esta investigación revelaron que tanto la religiosidad como la comunicación entre padres e hijos adolescentes son factores predictores de la sintomatología depresiva. El modelo teórico mostró que la religiosidad de los sujetos involucrados resultó ser un predictor directo de la sintomatología depresiva, lo cual no se esperaba, argumentándose la posibilidad de la indecisión de los sujetos ante sus creencias religiosas.",Doctorado en Educación Familiar,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-02T20:05:09Z
No. of bitstreams: 1
Tesis Aurora Mendoza Orgaz.pdf: 3459499 bytes, checksum: 1d662b04409984fbc53777900795d26f (MD5)||Made available in DSpace on 2018-09-02T20:05:09Z (GMT). No. of bitstreams: 1
Tesis Aurora Mendoza Orgaz.pdf: 3459499 bytes, checksum: 1d662b04409984fbc53777900795d26f (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/318,spa,,Religiosidad||Comunicación||Padres e hijos||Depresión en la adolescencia,"La religiosidad y la comunicación padres-hijos como factores predictivos de la sintomatología depresiva en adolescentes de preparatoria en Montemorelos, N.L",info:eu-repo/semantics/masterThesis
a2982227-b5a8-4d0e-adcc-b8a842736d47,20.500.11972/41,,"Garcia Marenko, Emilio",,"Coello Rivera, Raquel",,2018-09-02T21:08:08Z,,2018-09-02T21:08:08Z,,2015,"La institución del matrimonio ha sido históricamente vista en la sociedad como un compromiso para toda la vida entre los socios, ya sea para bien o para mal. Sin embargo, en las últimas tres décadas se ha visto un aumento constante en el fracaso de los matrimonios. Esta investigación pretendió dar respuesta a la pregunta: ¿existe una relación significativa entre la inteligencia emocional y la satisfacción marital de los sujetos casados de la zona metropolitana del estado de Hidalgo? Como conclusión se obtuvo que por los valores encontrados, se determinó que existe una relación ivariada positiva y significativa en un grado medianamente fuerte entre la variable inteligencia emocional y satisfacción marital.",Doctorado en Educación Familiar,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-02T21:08:08Z
No. of bitstreams: 1
Tesis Raquel Coello Rivera (1).pdf: 2105475 bytes, checksum: 545e99d801d864f84e321e113dc48e9b (MD5)||Made available in DSpace on 2018-09-02T21:08:08Z (GMT). No. of bitstreams: 1
Tesis Raquel Coello Rivera (1).pdf: 2105475 bytes, checksum: 545e99d801d864f84e321e113dc48e9b (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/323,spa,,Matrimonio||Inteligencia emocional,Relación entre la inteligencia emocional y la satisfacción marital de los sujetos casados de la zona metropolitana del Estado de Hidalgo,info:eu-repo/semantics/masterThesis
2dc4a659-8d41-4fe1-8f6a-8f345499ee28,20.500.11972/41,,"Estrada Miranda, Antonio",,"Campos Madrigal, Susana",,2018-09-02T21:43:22Z,,2018-09-02T21:43:22Z,,2015,"¿Qué estrategias del manejo de conflicto, factores de satisfacción marital y factores sociodemográficos resultan discriminantes significativos del estado civil en parejas heterosexuales de la región citrícola del estado de Nuevo León, en el año 2015? ¿Qué estrategias del manejo de conflicto, factores de satisfacción marital y factores sociodemográficos resultan discriminantes significativos del estado civil en parejas heterosexuales de la región citrícola del estado de Nuevo León, en el año 2015?¿Qué estrategias del manejo de conflicto, factores de satisfacción marital y factores sociodemográficos resultan discriminantes significativos del estado civil en parejas heterosexuales de la región citrícola del estado de Nuevo León, en el año 2015? Según los valores encontrados en el modelo de la función discriminante, se determinó que existe ajuste y significatividad entre las variables de la satisfacción marital, las estrategias del manejo de conflicto y los factores sociodemográficos; para la conformación de una estructura sólida que presenta una relación directa con el estado civil con un porcentaje predictivo considerable en la población del estudio.",Doctorado en Educación Familiar,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-02T21:43:22Z
No. of bitstreams: 1
Tesis Susana Campos Madrigal.pdf: 4994527 bytes, checksum: b2800ecaa450a39a1c19d3c62935e63f (MD5)||Made available in DSpace on 2018-09-02T21:43:22Z (GMT). No. of bitstreams: 1
Tesis Susana Campos Madrigal.pdf: 4994527 bytes, checksum: b2800ecaa450a39a1c19d3c62935e63f (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/327,spa,,Matrimonio,"Factores discriminantes significativos de la permanencia o disolución del matrimonio en los municipios de la región citrícola del estado de Nuevo León, México",info:eu-repo/semantics/masterThesis
ae239148-ed62-454d-9496-54ce6e628c3e,20.500.11972/41,,"Salazar Rodríguez, Ana Lucrecia",,"Segovia García, Teresa de Jesús",,2018-09-02T21:47:20Z,,2018-09-02T21:47:20Z,,2015,"Cuando una pareja se casa, ambos cónyuges están dispuestos a renunciar a todo y están ansiosos por satisfacer las necesidades del otro. Desafortunadamente, el enamoramiento disminuye lentamente y la relación de pareja se convierte en una rutina sin romanticismo y el amor consumado que se tenía al iniciar la relación desaparece, mientras disminuyen los niveles de intimidad, pasión y compromiso. Como conclusión se obtuvo que tanto en hombres como en mujeres se observa, de manera importante que, a mayor amor consumado, mayor satisfacción de sus necesidades y recíprocamente. La admiración juega un papel primordial en esta relación. El nivel de amor consumado y satisfacción de las necesidades del cónyuge según los años de casados se presenta en forma de “U”, manifestándose más alto en el primer año de relación, disminuyendo en los siguientes años y aumentando nuevamente en la etapa final. Con respecto al amor consumado según la edad, no varía; sin embargo, el nivel más alto de la satisfacción de las necesidades del cónyuge según la edad lo tienen los hombres mayores de 60 años.",Doctorado en Educación Familiar,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-02T21:47:20Z
No. of bitstreams: 1
Tesis Teresa de Jesús Segovia García.pdf: 5085393 bytes, checksum: bbe3985de1d707d12736dba05f7d3cb2 (MD5)||Made available in DSpace on 2018-09-02T21:47:20Z (GMT). No. of bitstreams: 1
Tesis Teresa de Jesús Segovia García.pdf: 5085393 bytes, checksum: bbe3985de1d707d12736dba05f7d3cb2 (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/328,spa,,Cónyuges,Relación entre el amor consumado y la satisfacción de las necesidades del cónyuge en una muestra de mexicanos,info:eu-repo/semantics/masterThesis
ed058b74-a6f7-4342-b9f7-01e94372bbee,20.500.11972/41,,"Estrada Miranda, Antonio",,"Francisca, Cherrel Justino",,2018-09-02T21:54:47Z,,2018-09-02T21:54:47Z,,2015,"High incidence of divorce in the Netherlands and the Dutch Caribbean may be attributed to the absence of marital/premarital education, rather than solely to the commonly accepted determinants, such as lack of communication, short courtship period, financial problems, and personality differences.Based on these findings, it can be concluded that the observed increases in relationship and family competences are linked to a simultaneous increase in marital satisfaction and commitment, which may improve marriage quality and durability.",Doctor in Family Life Education,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-02T21:54:47Z
No. of bitstreams: 1
Thesis Cherrel Francisca.pdf: 6518214 bytes, checksum: 6b175ef19f3778bba397794294d38a2d (MD5)||Made available in DSpace on 2018-09-02T21:54:47Z (GMT). No. of bitstreams: 1
Thesis Cherrel Francisca.pdf: 6518214 bytes, checksum: 6b175ef19f3778bba397794294d38a2d (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/329,spa,,Matrimonio,"Impact of culturally sensitive, competence-based marital education program on marital satisfaction, commitment and relationship competence in the dutch caribbean",info:eu-repo/semantics/masterThesis
27db3b46-bd1e-4e9e-bccf-a79a090f10d4,20.500.11972/41,,"Korniejczuk, Víctor Andrés",,"Fandiño Leguía, José David",,2018-09-02T22:01:26Z,,2018-09-02T22:01:26Z,,2016,"El propósito de este estudio fue dar respuesta a la siguiente pregunta: ¿Cuál es la relación existente entre las prácticas parentales y el uso problemático y generalizado de internet en adolescentes de las escuelas privadas y públicas de Pueblo Nuevo Solistahuacán, Chiapas, durante el curso escolar 2014-2015? Se finalizó la presente investigación con las siguientes conclusiones: En el estudio no se observaron datos que permitan afirmar que hay un uso problemático de internet, al contrario de la mayoría de las investigaciones y las  prácticas parentales son factores importantes para evitar la conducta del uso problemático de internet. De estas prácticas, las de mayor impacto son las maternas.",Doctorado en Educación Familiar,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-02T22:01:26Z
No. of bitstreams: 1
Tesis José David Fandiño Leguia.pdf: 9541166 bytes, checksum: d373b145d74b0b482daf01c090479123 (MD5)||Made available in DSpace on 2018-09-02T22:01:26Z (GMT). No. of bitstreams: 1
Tesis José David Fandiño Leguia.pdf: 9541166 bytes, checksum: d373b145d74b0b482daf01c090479123 (MD5)
  Previous issue date: 2016",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/330,spa,,Crianza de niños||Internet y niños,Prácticas parentales y uso generalizado y problemático de Internet,info:eu-repo/semantics/masterThesis
