id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_MX],dc.description.provenance[en],dc.format[es_MX],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[es_MX],dc.subject[],dc.subject[es_MX],dc.title[es_MX],dc.type[es_MX]
f240e6a4-d8f2-40b2-bc0d-e19242fd2fdd,20.500.11972/435,,"Espinosa Almazán, Moisés",,"Clemente Martínez, Adriel",,2018-09-06T22:36:31Z,,2018-09-06T22:36:31Z,,2007,"En esta tesis se destaca la conclusión de que los hijos de pastores de la Unión Mexicana del Sur manifiestan una actitud correcta hacia la iglesia. Dedican tiempo para su devoción personal, experimentan un estilo de vida conforme a la enseñanza adventista, se integran a la adoración y el culto, sus necesidades básicas están siendo satisfechas, practican los valores familiares, están satisfechos con el trabajo de su padre y se dedica tiempo en ellos.",Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-06T22:36:31Z
No. of bitstreams: 1
Tesis Adriel Clemente Martinez.pdf: 74561669 bytes, checksum: 2e44d58419d9d3ec9cff3345b2c7af39 (MD5)||Made available in DSpace on 2018-09-06T22:36:31Z (GMT). No. of bitstreams: 1
Tesis Adriel Clemente Martinez.pdf: 74561669 bytes, checksum: 2e44d58419d9d3ec9cff3345b2c7af39 (MD5)
  Previous issue date: 2007",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/446,spa,,Espiritualidad - Hijos||Ministros (Religión) - Hijos||Adventista del Séptimo Día - Espiritualidad,Las necesidades espirituales y familiares de los hijos de pastores en la Union Mexicana del Sur : análisis y recomendaciones /,info:eu-repo/semantics/doctoralThesis
e8b922e5-a03d-4cb9-aff7-bc3284a471b9,20.500.11972/435,,"Valenzuela, Alfonso",,"González Esteban, Ervin A.",,2018-09-06T22:09:24Z,,2018-09-06T22:09:24Z,,2002,"Esta tesis concluye en que las tendencias y actitudes que la juventud experimenta en otras partes del mundo (rebeldía, vicios, malas actitudes, etc.) son semejantes en todas partes. Los problemas que afligen a la humanidad afectan de diversas formas a todos, porque son universales.",Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-06T22:09:24Z
No. of bitstreams: 1
Tesis Ervin Alexis González Esteban.pdf: 65442613 bytes, checksum: 618c40203f9bd0b1b87a757de5b08f63 (MD5)||Made available in DSpace on 2018-09-06T22:09:24Z (GMT). No. of bitstreams: 1
Tesis Ervin Alexis González Esteban.pdf: 65442613 bytes, checksum: 618c40203f9bd0b1b87a757de5b08f63 (MD5)
  Previous issue date: 2002",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/443,spa,Juventud – Vida espiritual – Adventistas del Séptimo Día,Juventud – Tabasco (México) – Adventistas del Séptimo Día,"Un estudio sobre la vida espiritual de los jóvenes adventistas en Tabasco, México",info:eu-repo/semantics/doctoralThesis
1b767b0f-668f-4534-a26d-14588431c07c,20.500.11972/435,,"Dzul Trejo, Jorge Rodolfo",,"Acevedo Butrón, Daniel",,2018-09-06T22:44:03Z,,2018-09-06T22:44:03Z,,2007,"Esta tesis concluye con que una de las maneras para hacer evangelismo es plantando iglesias. Y aunque diferentes modelos se usan para plantar nuevas iglesias, en la ciudad de Villahermosa se ha utilizado mayormente los de iglesia en casa y de iglesia madre.",Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-06T22:44:03Z
No. of bitstreams: 1
Tesis Daniel Acevedo Burtron.pdf: 61956771 bytes, checksum: 911519fb87575b3de49489f03a7ac6c8 (MD5)||Made available in DSpace on 2018-09-06T22:44:03Z (GMT). No. of bitstreams: 1
Tesis Daniel Acevedo Burtron.pdf: 61956771 bytes, checksum: 911519fb87575b3de49489f03a7ac6c8 (MD5)
  Previous issue date: 2007",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/448,spa,,Desarrollo de la iglesia - Adventista del Séptimo Día||Crecimiento de iglesia  - Villahermosa (Tabasco),"Un análisis de métodos utilizados en la plantación de Iglesias Adventistas en la ciudad de Villa Hermosa, Tabasco",info:eu-repo/semantics/doctoralThesis
1cf35fe3-3ed3-4ef9-a7d1-807d444079d8,20.500.11972/435,,"Dzul Trejo, Jorge Rodolfo",,"Hernández Velázquez, Francisco",,2018-09-06T22:47:02Z,,2018-09-06T22:47:02Z,,2007,"El estudio mostró los factores que, tanto adventistas como no adventistas, afirman son causas de discreción en la Unión Cubana. Estos fueron: descuido del estudio de la Biblia y de la oración, Falta de compañerismo de los miembros, preparación deficiente para el bautismo y descuido del trabajo misionero.",Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-06T22:47:02Z
No. of bitstreams: 1
Tesis Francisco Hernández Velázquez.pdf: 75735424 bytes, checksum: 9ad8f11e3c1275f5d477e4f0778b4de6 (MD5)||Made available in DSpace on 2018-09-06T22:47:02Z (GMT). No. of bitstreams: 1
Tesis Francisco Hernández Velázquez.pdf: 75735424 bytes, checksum: 9ad8f11e3c1275f5d477e4f0778b4de6 (MD5)
  Previous issue date: 2007",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/449,spa,,Retención (Miembros) - Programa | Retención (Miembros) - Adventista del Séptimo Día||Retención (Miembros) - Cuba - Adventista del Séptimo Día,Un programa de retención de miembros para la Unión Cubana de los Adventistas del Séptimo Día,info:eu-repo/semantics/doctoralThesis
57fc6843-ea15-4a43-936e-73c829d752a5,20.500.11972/435,,"Espinosa Almazán, José Mercedes",,"Mazariego Caraveo, Gustavo",,2018-09-06T22:50:30Z,,2018-09-06T22:50:30Z,,2007,Esta tesis concluye en que el término instrucción misionera se aplica a todo proceso en el cual se adquiere el conocimiento y la habilidad para realizar las actividades misioneras.,Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-06T22:50:30Z
No. of bitstreams: 1
Tesis Gustavo Mazariego Caraveo.pdf: 96973257 bytes, checksum: 8c32092083e972ecd1866423d215ba5b (MD5)||Made available in DSpace on 2018-09-06T22:50:30Z (GMT). No. of bitstreams: 1
Tesis Gustavo Mazariego Caraveo.pdf: 96973257 bytes, checksum: 8c32092083e972ecd1866423d215ba5b (MD5)
  Previous issue date: 2007",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/450,spa,,"Evangelismo - Capacitación, instrucción Mérida (Yucatán)||Escuela religiosa - Adventista del Séptimo Día||Escuela religiosa - Mérida (Yucatán)",Implementación de una escuela de instrucción misionera para la Iglesia Adventista de Mérida,info:eu-repo/semantics/doctoralThesis
0e47dd1d-5069-4430-9b11-4e0fce6de468,20.500.11972/435,,"Espinosa Almazán, José Mercedes",,"Lozano Reyes, Abimael",,2018-09-10T21:24:25Z,,2018-09-10T21:24:25Z,,2015,En esta tesis se concluye que el estudio estadístico tuvo como propósito lograr una comprensión de la dinámica poblacional adventista en México durante el periodo de los años 2000 al 2010.,Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-10T21:24:25Z
No. of bitstreams: 1
Tesis SETAI Lozano Reyes.pdf: 109082183 bytes, checksum: e121baaef3f98323103792794970681c (MD5)||Made available in DSpace on 2018-09-10T21:24:25Z (GMT). No. of bitstreams: 1
Tesis SETAI Lozano Reyes.pdf: 109082183 bytes, checksum: e121baaef3f98323103792794970681c (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/502,spa,,Adventistas del Séptimo Día - México - 2000 - 2010,Un estudio estadístico del crecimiento poblacional y la distribución geográfica de los adventistas del séptimo día en México durante el periodo de los años 2000-2010,info:eu-repo/semantics/doctoralThesis
1fe1b020-831b-47b2-867d-f24942d178b0,20.500.11972/435,,"Espinosa Almazán, José Mercedes",,"Armenta Espinoza, Héctor R.",,2018-09-10T19:52:29Z,,2018-09-10T19:52:29Z,,2007,"Esta investigación ha abierto el campo para profundizar, aún más, sobre el tema del incremento de la participación de los miembros en el trabajo misionero. La capacitación para los miembros de iglesia es indispensable.",Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-10T19:52:29Z
No. of bitstreams: 1
Tesis Hector R.  Armenta Espinoza.pdf: 98395032 bytes, checksum: e063675eb8419a79dc72057c0f3593de (MD5)||Made available in DSpace on 2018-09-10T19:52:29Z (GMT). No. of bitstreams: 1
Tesis Hector R.  Armenta Espinoza.pdf: 98395032 bytes, checksum: e063675eb8419a79dc72057c0f3593de (MD5)
  Previous issue date: 2007",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/479,eng,,Evangelismo - Capacitación||Instrucción||Evangelismo - Iglesia de Salamanca (Guanajuato)||Iglesia Adventista del Séptimo Día,"Un programa para incrementar la participación de los miembros en el trabajo misionero en la Iglesia Adventista de Salamanca, Guanajuato, México",info:eu-repo/semantics/doctoralThesis
9e48bc1c-faa1-4712-b650-19c3b1abf008,20.500.11972/435,,"Espinosa Almazán, Moisés",,"Córdova Cobo, Jesús Obed",,2018-09-10T19:55:40Z,,2018-09-10T19:55:40Z,,2007,"Al concluir el presente estudio se pueden obtener varias conclusiones entre las que pueden destacar que la expresión obra misionera es un término utilizado por la mayoría de las iglesias cristianas como la acción de llevar el evangelio a territorios aún no conquistados,",Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-10T19:55:40Z
No. of bitstreams: 1
Tesis Jesus Obed Córdoba Cobo.pdf: 77662108 bytes, checksum: 2a621ca01c0391b94b2e457feb865410 (MD5)||Made available in DSpace on 2018-09-10T19:55:40Z (GMT). No. of bitstreams: 1
Tesis Jesus Obed Córdoba Cobo.pdf: 77662108 bytes, checksum: 2a621ca01c0391b94b2e457feb865410 (MD5)
  Previous issue date: 2007",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/480,spa,,"Misionero - Programa - Iglesia de Tapachula (México)||Misionero - Estudio y enseñanza||Misionero - Capacitación, instrucción","Creación e implementación de un programa misionero para la iglesia central en Tapachula, Chiapas, México",info:eu-repo/semantics/doctoralThesis
2e91f092-7982-42d8-ac74-c4ec251a59ba,20.500.11972/435,,"Espinosa Almazán, Moisés",,"Rosa Córdova, José de la",,2018-09-10T19:59:11Z,,2018-09-10T19:59:11Z,,2007,"Esta tesis concluye en que los padres no necesitan desanimarse al ver que el esfuerzo que han hecho para mantener a sus hijos dentro de la iglesia, aparentemente ha sido infructuoso. Algunas veces las intenciones han sido la de retenerlos para que ellos tomen la bandera para cuando los adultos tengan que dejar.",Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-10T19:59:11Z
No. of bitstreams: 1
Tesis Jose De la Rosa Cordova.pdf: 67505406 bytes, checksum: 1d8c6c15e856273cda59fcfbc0283a4c (MD5)||Made available in DSpace on 2018-09-10T19:59:11Z (GMT). No. of bitstreams: 1
Tesis Jose De la Rosa Cordova.pdf: 67505406 bytes, checksum: 1d8c6c15e856273cda59fcfbc0283a4c (MD5)
  Previous issue date: 2007",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/481,spa,,Adventista del Séptimo Día - Deserción eclesiástica||Deserción eclesiástica - Programa||Deserción eclesiástica - Iglesia de Juárez (Chiapas),"Programa para disminuir el nivel de deserción de la iglesia de hijos de padres adventistas de Juarez, Chiapas, México",info:eu-repo/semantics/doctoralThesis
2ae67f4a-d57c-4828-ba80-704c0be63178,20.500.11972/435,,"Espinosa Almazán, Moisés",,"Gómez Morales, Julián",,2018-09-10T20:04:10Z,,2018-09-10T20:04:10Z,,2007,"Este estudio reveló que existen ocho razones por las cuales la iglesia no se extiende entre algunas de ellas destacan: Hace falta participación misionera, falta de iniciativa misionera en nuevas colonias, falta enviar grupos de miembros para entender nuevas iglesias, entre otras más.",Doctorado en Ministerio,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-10T20:04:10Z
No. of bitstreams: 1
Tesis Julián Gomez Morales.pdf: 106221782 bytes, checksum: 8d523a0f71ff25ee283ecae4acb16cd3 (MD5)||Made available in DSpace on 2018-09-10T20:04:10Z (GMT). No. of bitstreams: 1
Tesis Julián Gomez Morales.pdf: 106221782 bytes, checksum: 8d523a0f71ff25ee283ecae4acb16cd3 (MD5)
  Previous issue date: 2007",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/482,spa,,Evangelismo||Crecimiento de la iglesia||Obra evangelística,"Programa de evangelismo de extensión territorial para la Iglesia Central de Santa Ana, Toluca, Estado de México",info:eu-repo/semantics/doctoralThesis
