id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_MX],dc.description.provenance[en],dc.format[es_MX],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[es_MX],dc.subject[],dc.subject[es_MX],dc.title[es_MX],dc.type[es_MX]
9be79ae3-8845-4552-9ee0-42bd940e4f34,20.500.11972/441,"Hernández Rentería, Carlos  Emilio",,"Leiva Díaz, Rodrigo",,2021-06-03T20:00:12Z,,2021-06-03T20:00:12Z,,2020,,,Maestría en Ciencias Computacionales,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2021-06-03T20:00:12Z
No. of bitstreams: 1
TESIS DE MAESTRÍA EN CIENCIAS COMPUTACIONALES DE RODRIGO ENRIQUE LEIVA DÍAZ.pdf: 1768631 bytes, checksum: eca90ec15d9b38b924de95b03a81e6a1 (MD5)||Made available in DSpace on 2021-06-03T20:00:12Z (GMT). No. of bitstreams: 1
TESIS DE MAESTRÍA EN CIENCIAS COMPUTACIONALES DE RODRIGO ENRIQUE LEIVA DÍAZ.pdf: 1768631 bytes, checksum: eca90ec15d9b38b924de95b03a81e6a1 (MD5)
  Previous issue date: 2020",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1355,,spa,,Pendiente por asignar,Propuesta de migración del protocolo de  comunicación en la Universidad  Adventista de Chile,info:eu-repo/semantics/masterThesis
bd36aaa9-4923-481d-951b-aa86dd4bfe85,20.500.11972/441,,"Hernández Osoria, Saulo",,"Moncada Gil, Alberto",,2018-09-11T20:00:24Z,,2018-09-11T20:00:24Z,,2004,"Este proyecto  de investigación resalta una propuesta resultante que constituye una guía para el desarrollo de software de evaluación del aprendizaje, ya que ofrece los requerimientos generales y la estructura de datos que los satisfacen, aunque deja en libertad a los desarrolladores para decidir mejor la implementación.",Maestría en Ciencias Computacionales,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T20:00:24Z
No. of bitstreams: 1
Tesis Alberto Moncada Gil.pdf: 98123230 bytes, checksum: 5e3d23c8d353c0c41bdea9bb5b1c3904 (MD5)||Made available in DSpace on 2018-09-11T20:00:24Z (GMT). No. of bitstreams: 1
Tesis Alberto Moncada Gil.pdf: 98123230 bytes, checksum: 5e3d23c8d353c0c41bdea9bb5b1c3904 (MD5)
  Previous issue date: 2004",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/522,spa,,Programación (computadores electrónicos)||Evaluación educativa||Educación virtual,Propuesta de estándar de software de evalución del aprendizaje para la educación virtual,info:eu-repo/semantics/masterThesis
0fc8a7ce-2db7-4a8d-9401-13d72cac1106,20.500.11972/441,,"Díaz Valladares, Ramón Andrés",,"Chiquito Guzmán, Octavio",,2018-09-11T20:03:14Z,,2018-09-11T20:03:14Z,,2004,"Este proyecto aborda el problema al construir un producto multimedia, siguiendo metodologías ya establecidas y probadas.
Como resultado de las experiencias obtenidas se documentaron los procedimientos para la creación de productos multimedia enfocados a la educación en las universidades no como un producto para la venta.",Maestría en Ciencias Computacionales con Acentuación en Multimedia,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T20:03:14Z
No. of bitstreams: 1
Tesis Octavio Chiquito Guzmán (1).doc: 943616 bytes, checksum: b8f7dbf26399f30f16e4046bf8e55643 (MD5)||Made available in DSpace on 2018-09-11T20:03:14Z (GMT). No. of bitstreams: 1
Tesis Octavio Chiquito Guzmán (1).doc: 943616 bytes, checksum: b8f7dbf26399f30f16e4046bf8e55643 (MD5)
  Previous issue date: 2004",application/msword,,https://dspace.um.edu.mx/handle/20.500.11972/523,spa,,Sistemas multimedias||Educación superior||Métodos de enseñanza,Desarrollo e implementación de un sistema multimedia interactivo para facilitar la enseñanza universitaria : un enfoque metodológico,info:eu-repo/semantics/masterThesis
6e0029d7-c2e7-4bd7-9f87-c984010ae272,20.500.11972/441,,"Hernández Osoria, Saulo",,"Pet Martínez, Sheny Laudy",,2018-09-11T21:40:46Z,,2018-09-11T21:40:46Z,,2015,"En base a los puntos expuestos con anterioridad y la importancia de un sistema de comunicacin en una organización, el presente proyecto presenta un prototipo funcional basado en software libre que proporciona las mismas caractersticas de una central telefnica realizando funciones como: transferencia de llamadas, buzn de voz y contestador automÆtico.
Universidad de Montemorelos",Maestría en Ciencias Computacionales,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T21:40:46Z
No. of bitstreams: 1
Tesis Sheny Laudy Pet Martínez.pdf: 91958802 bytes, checksum: 7dd40d7d45733bac136e6539b7e3ca14 (MD5)||Made available in DSpace on 2018-09-11T21:40:46Z (GMT). No. of bitstreams: 1
Tesis Sheny Laudy Pet Martínez.pdf: 91958802 bytes, checksum: 7dd40d7d45733bac136e6539b7e3ca14 (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/538,spa,,Telecomunicaciones - Innovaciones tecnológicas,Implementación de una plataforma de telecomunicaciones VOIP,info:eu-repo/semantics/masterThesis
d02224a9-7487-4a5a-801d-76d5fa200bc8,20.500.11972/441,,"Díaz Valladares, Ramón Andrés",,"Rodríguez Herrera, Rosa Elisa",,2018-09-11T21:43:09Z,,2018-09-11T21:43:09Z,,2015,"En esta tesis se logró identificar los factores que han obstaculizado
la implementación de servicios móviles promovidos por la banca para el pago de productos
y/o servicios. Para dichos factores, se proporcionaron una serie de retos y oportunidades,
como propuesta base de mejoras, a las estrategias y desarrollos actuales
para los servicios de pagos móviles realizados en teléfonos inteligentes.",Maestría en Ciencias Computacionales,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T21:43:09Z
No. of bitstreams: 1
Tesis Rosa Elisa Rodríguez Herrera.pdf: 2676418 bytes, checksum: 30d1349f252f3383d85aead59e6c43ca (MD5)||Made available in DSpace on 2018-09-11T21:43:09Z (GMT). No. of bitstreams: 1
Tesis Rosa Elisa Rodríguez Herrera.pdf: 2676418 bytes, checksum: 30d1349f252f3383d85aead59e6c43ca (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/539,spa,,Innovaciones tecnológicas - Aspectos económicos||Telecomunicaciones - Innovaciones tecnológicas||Sistemas móviles de comunicación,Factores que obstaculizan la implementación de servicios móviles como medios de pago en el sector bancario de México,info:eu-repo/semantics/masterThesis
2eff4573-3b64-4bef-bed6-b9877f665df0,20.500.11972/441,,"Hernández Osoria, Saulo",,"Ancona Reyes, José Adair",,2018-09-11T21:45:13Z,,2018-09-11T21:45:13Z,,2015,"Al finalizar este proyecto se logró implementar una aplicación para iOS y un portal
web para administrar su contenido. Se adquirieron conocimientos funcionales sobre el
desarrollo de aplicaciones móviles nativas para iOS, tecnologías de desarrollo web y
la capacidad de utilizar estas herramientas para funcionar y trabajar en conjunto",Maestría en Ciencias Computacionales,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T21:45:13Z
No. of bitstreams: 1
Tesis José Adair Ancona Reyes.pdf: 5220652 bytes, checksum: d767506761bbf445d1261f7f1c2cdc4e (MD5)||Made available in DSpace on 2018-09-11T21:45:13Z (GMT). No. of bitstreams: 1
Tesis José Adair Ancona Reyes.pdf: 5220652 bytes, checksum: d767506761bbf445d1261f7f1c2cdc4e (MD5)
  Previous issue date: 2015",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/540,spa,,Ingeniería de software||Enseñanza con ayuda de computadores||Tecnología educativa,Desarrollo de una aplicación nativa de enseñanza para IOS con SWIFT,info:eu-repo/semantics/masterThesis
812fba41-054c-4a19-8043-1ba14ae2b86e,20.500.11972/441,,"Alférez Salinas, Germán Harvey",,"Domínguez Domínguez, Rúsbel",,2018-09-11T21:49:04Z,,2018-09-11T21:49:04Z,,2017,"Esta tesis explica que mediante la aplicación de ciencia de datos y aprendizaje automático sobre datos
abiertos de la Secretaría de Salud de México, es posible clasificar a pacientes en las
siguientes dos causas de muerte: eclampsia durante el trabajo de parto o padecimiento
de hemorragia postparto, secundaria o tardía.",Maestría en Ciencias Computacionales,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T21:49:04Z
No. of bitstreams: 1
Tesis Rúsbel Domínguez Domínguez.pdf: 1981148 bytes, checksum: b1c7f70d9b232c52d15dd64d874bf62f (MD5)||Made available in DSpace on 2018-09-11T21:49:04Z (GMT). No. of bitstreams: 1
Tesis Rúsbel Domínguez Domínguez.pdf: 1981148 bytes, checksum: b1c7f70d9b232c52d15dd64d874bf62f (MD5)
  Previous issue date: 2017",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/542,spa,,Procesamiento electrónico de datos||Mortalidad materna||Programas para computador,Aplicación de ciencia de datos para la creación de software predictivo de morbimortalidad materna en México,info:eu-repo/semantics/masterThesis
3e44c026-69f1-49bd-bc5c-b29128ed3fc5,20.500.11972/441,,"Hernández Rentería, Carlos Emilio",,"Robles López, Pedro",,2018-09-11T21:50:19Z,,2018-09-11T21:50:19Z,,2017,"Esta tesis establece que en relación con los temas planteados precedentemente y la importancia de los
cambios actuales en ciencia y tecnología, es imprescindible el desarrollo de un prototipo
de laboratorio de cómputo que optimice las herramientas computacionales disponibles
para afrontar los problemas que enfrentan los laboratorios de cómputo tradicionales.","Maestría en Ciencias Computacionales
Área de Redes Informáticas","Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T21:50:19Z
No. of bitstreams: 1
Tesis Pedro Robles López.pdf: 2205982 bytes, checksum: 006b45cc25542c89a2a7722c5c136e53 (MD5)||Made available in DSpace on 2018-09-11T21:50:19Z (GMT). No. of bitstreams: 1
Tesis Pedro Robles López.pdf: 2205982 bytes, checksum: 006b45cc25542c89a2a7722c5c136e53 (MD5)
  Previous issue date: 2017",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/543,spa,,Computadores||Sistemas virtuales de computadores,Virtualización y tarjetas embebidas como núcleo de un laboratorio de cómputo,info:eu-repo/semantics/masterThesis
86893d90-7d38-4ddd-a5e1-f049783c61f1,20.500.11972/441,,"Díaz Valladares, Ramón Andrés",,"Escalante Guízar, Daniel Abraham",,2018-09-11T21:53:36Z,,2018-09-11T21:53:36Z,,2018,"En esta tesis se concluye que las guidelines del Department of Health and Human Services y la US General
Services Administration hacen referencia a que un sitio web representa el todo de una
organización, valorando cada una de sus áreas. Además, un sitio web debe ser dise-
ñado y estructurado de la mejor manera, permitiendo que la usabilidad establezca un
lazo de comunicación entre el usuario y la computadora.",Maestría en Ciencias Computacionales,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T21:53:36Z
No. of bitstreams: 1
Tesis Daniel Escalante Guízar.pdf: 19461351 bytes, checksum: 148c6ccd036738945a3ce69d5d8b1342 (MD5)||Made available in DSpace on 2018-09-11T21:53:36Z (GMT). No. of bitstreams: 1
Tesis Daniel Escalante Guízar.pdf: 19461351 bytes, checksum: 148c6ccd036738945a3ce69d5d8b1342 (MD5)
  Previous issue date: 2018",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/544,spa,,Páginas web||Utilización,"Medición del nivel de usabilidad del sitio web de la Universidad de Montemorelos, durante el ciclo escolar 2011-2012",info:eu-repo/semantics/masterThesis
d5d6ee50-3535-46ab-9930-01d620fdd41d,20.500.11972/441,,"Alférez Salinas, Germán Harvey",,"González Hernández, Ceila Merari",,2018-09-11T21:55:45Z,,2018-09-11T21:55:45Z,,2018,"En esta tesis se propone crear un software basado en ciencia de datos, datos masivos, datos
abiertos, aprendizaje automático y la metodología de ciencia de datos de IBM, es
posible clasificar eventos sobre refugiados y lucha con artillería, basándose en un
conjunto de datos sobre Iraq, país perteneciente a la Ventana 10/40. El modelo
predictivo utilizado por el software que se generó mediante Decision Trees, presenta
valores arriba de 0.74 para accuracy, precision, recall y f1-score. Además, los
resultados coinciden con los ofrecidos en mapas oficiales.",Maestría en Ciencias Computacionales,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-11T21:55:45Z
No. of bitstreams: 1
Tesis Ceila Merari González.pdf: 6703220 bytes, checksum: 0fcfc180a3e8c13d3febbd78b0cfcb85 (MD5)||Made available in DSpace on 2018-09-11T21:55:45Z (GMT). No. of bitstreams: 1
Tesis Ceila Merari González.pdf: 6703220 bytes, checksum: 0fcfc180a3e8c13d3febbd78b0cfcb85 (MD5)
  Previous issue date: 2018",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/545,spa,,Procesamiento electrónico de datos||Programas para computador,Software para la aplicación de ciencia de datos en la unión de medio oriente y norte de África : caso de estudio en Iraq,info:eu-repo/semantics/masterThesis
