id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_MX],dc.description.provenance[en],dc.format[es_MX],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[es_MX],dc.subject[],dc.subject[es_MX],dc.title[es_MX],dc.type[es_MX]
fb44a8ae-2166-4801-b61f-4f1641f58447,20.500.11972/506,,"Juárez Ortíz, Armando",,"Tinoco Cotacio, Yulian",,2018-09-13T19:11:30Z,,2018-09-13T19:11:30Z,,1997,"Este estudio responde a ciertas interrogantes sobre el porqué de la Iglesia Adventista del Séptimo Día, cómo surgió, cuáles fueron sus antecedentes históricos y cómo ha logrado llegar a ser un pueblo tan peculiar manteniendo la misión que motivó su nacimiento. El contenido no será solamente sobre sus comienzos sino también sobre los desafíos que ha tenido que enfrentar a través del tiempo a medida que se organizaba y extendía sus fronteras.",Maestría en Teología Pastoral,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-13T19:11:30Z
No. of bitstreams: 1
Tesis Yulian Tinoco Cotacio.pdf: 109309573 bytes, checksum: 26dd302d860b9390d13381284c03b344 (MD5)||Made available in DSpace on 2018-09-13T19:11:30Z (GMT). No. of bitstreams: 1
Tesis Yulian Tinoco Cotacio.pdf: 109309573 bytes, checksum: 26dd302d860b9390d13381284c03b344 (MD5)
  Previous issue date: 1997",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/633,spa,,Historia denominacional||Adventistas del Séptimo Día - Historia,Manual de especialidades J. A. : historia denominacional,info:eu-repo/semantics/masterThesis
4048d0a8-15aa-4be9-b961-eb6c0e33fa53,20.500.11972/506,,"Grajales, Tevni",,"Salas Monzón, Neemías",,2018-09-12T20:48:15Z,,2018-09-12T20:48:15Z,,1997,"El propósito de esta tesis es capacitar al facilitador y al aspirante de un club juvenil, mediante un manual más completo, para que cooperen en su iglesia, siendo más capaces para desempeñarse como buenos ciudadanos. 
Además de lo anterior, el propósito fundamental de esta tesis es restaurar al ciudadano en el cumplimiento de sus deberes con la localidad donde vive.||",Maestría en Teología Pastoral,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-12T20:48:15Z
No. of bitstreams: 1
Tesis Neemías Salas Monzón.pdf: 91569309 bytes, checksum: aaf12e8204d00b70b6e3cad0ce46e8a8 (MD5)||Made available in DSpace on 2018-09-12T20:48:15Z (GMT). No. of bitstreams: 1
Tesis Neemías Salas Monzón.pdf: 91569309 bytes, checksum: aaf12e8204d00b70b6e3cad0ce46e8a8 (MD5)
  Previous issue date: 1997",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/585,spa,,Ciudadanía cristiana||Jóvenes - Especialidades de clubes,Manual de ciudadanía cristiana,info:eu-repo/semantics/masterThesis
a73f7572-ddac-4eb4-98ce-911932298aa0,20.500.11972/506,,"Ramal, Héctor",,"Torres Jiménez, Carlos José",,2018-09-12T20:45:39Z,,2018-09-12T20:45:39Z,,1998,"Después del trabajo realizado se concluye que los ''principios guiadores para presentar el tema central de la Sociedad de Jóvenes en forma dinámica, atractiva, educativa y espiritual'', son la base fundamental para lograr el éxito en la programación de la Sociedad de Jóvenes.",Maestría en Teología Pastoral,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-12T20:45:39Z
No. of bitstreams: 1
Tesis Carlos José Torres Jiménez.pdf: 123389079 bytes, checksum: 94438d117fde380e36aa58c8c1f05e20 (MD5)||Made available in DSpace on 2018-09-12T20:45:39Z (GMT). No. of bitstreams: 1
Tesis Carlos José Torres Jiménez.pdf: 123389079 bytes, checksum: 94438d117fde380e36aa58c8c1f05e20 (MD5)
  Previous issue date: 1998",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/584,spa,,Ministerio Juvenil,"Principios guiadores para presentar el tema central de la sociedad de jóvenes en forma dinámica, atractiva, educativa y espiritual",info:eu-repo/semantics/masterThesis
609f863b-7065-45f6-805a-18f8ba457a54,20.500.11972/506,,"Juárez Ortíz, Armando",,"Meza González, Luciano",,2018-09-12T20:50:05Z,,2018-09-12T20:50:05Z,,1996,"En la elaboración de este manual se ha pretendido adaptar la instrucción, las evaluaciones, las actividades integradoras del conocimiento a la vida práctica, Siempre pensando en el estudiante o aspirante a Guía mayor, para que todo sea comprensible y fácil de realizar, con la posibilidad de hacer ajustes de acuerdo a las circunstancias del estudiante.",Maestría en Teología Pastoral,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-12T20:50:05Z
No. of bitstreams: 1
Tesis Luciano Meza Gonzalez (1).pdf: 54596613 bytes, checksum: e6ce4346d5d1b8e8979acb7fdde29da1 (MD5)||Made available in DSpace on 2018-09-12T20:50:05Z (GMT). No. of bitstreams: 1
Tesis Luciano Meza Gonzalez (1).pdf: 54596613 bytes, checksum: e6ce4346d5d1b8e8979acb7fdde29da1 (MD5)
  Previous issue date: 1996",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/586,spa,,Relaciones familiares||Vida familiar,Manual de especialidad J. A. vida familiar,info:eu-repo/semantics/masterThesis
e145c98c-5813-4d81-a2dd-33055cff5f80,20.500.11972/506,,"Wade Carillo, Eloy",,"Aguilar López, Didier Macario",,2018-09-12T20:51:59Z,,2018-09-12T20:51:59Z,,1996,"Esta tesis explica que el modal y la apariencia casi son palabras sinónimas pues ambas muestran lo exterior de nosotros.
Los modales son accione externas con que uno da a conocer su buena o mala educación.
La apariencia es el aspecto exterior de una persona o cosa.
Vale la pena seguir investigando, pero sobre todo practicando los buenos modales y dando una apariencia agradable.",Maestría en Teología Pastoral,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-12T20:51:59Z
No. of bitstreams: 1
Tesis Didier Macario Aguilar López.pdf: 105766031 bytes, checksum: 7a4f22c46c4fbc0ec6a18c40339098dd (MD5)||Made available in DSpace on 2018-09-12T20:51:59Z (GMT). No. of bitstreams: 1
Tesis Didier Macario Aguilar López.pdf: 105766031 bytes, checksum: 7a4f22c46c4fbc0ec6a18c40339098dd (MD5)
  Previous issue date: 1996",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/587,spa,,Etiqueta||Conducta humana||Vida familiar,Manual de modales y apariencia cristiana,info:eu-repo/semantics/masterThesis
89649b4b-9214-40f6-bf0b-316b0730aef7,20.500.11972/506,,"Wade Carillo, Eloy",,"Baldwin, Clinton",,2018-09-12T20:53:24Z,,2018-09-12T20:53:24Z,,1995,"Without an assurance of salvation the Christian life is only an imprisonment with very little hope. The themes of this subject while they are simple do take some doing at times to grasp.
However the Holy Spirit always helps the sincere seeker.",Masters in Pastoral Theology,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-12T20:53:23Z
No. of bitstreams: 1
Tesis Clinton Baldwin (1).pdf: 46923007 bytes, checksum: a2761ac682054f6335cd32dd16a73eac (MD5)||Made available in DSpace on 2018-09-12T20:53:24Z (GMT). No. of bitstreams: 1
Tesis Clinton Baldwin (1).pdf: 46923007 bytes, checksum: a2761ac682054f6335cd32dd16a73eac (MD5)
  Previous issue date: 1995",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/588,spa,,Soterología,An assurance of salvation in Montemorelos,info:eu-repo/semantics/masterThesis
9ca6af2a-6a0d-48a6-bc98-9b591a25155d,20.500.11972/506,,,,"Solís Hernández, Marcelo",,2018-09-12T21:05:59Z,,2018-09-12T21:05:59Z,,1996,"En la presente investigación, la declaración del problema decía: ¿Existe una relación significativa entre la comunión personal del pastor con Dios, la vocación, y la presión del trabajo eclesiástico en los obreros de la Asociación del Noreste, durante el año eclesiástico 1994-1995?",Maestría en Teología Pastoral,"Submitted by Lesly Montalvo (leslymontalvof@hotmail.com) on 2018-09-12T21:05:59Z
No. of bitstreams: 1
Tesis Marcelo Solis Hernandez.pdf: 49757826 bytes, checksum: 02fcb492fe4771b59a6bac527bd611b6 (MD5)||Made available in DSpace on 2018-09-12T21:05:59Z (GMT). No. of bitstreams: 1
Tesis Marcelo Solis Hernandez.pdf: 49757826 bytes, checksum: 02fcb492fe4771b59a6bac527bd611b6 (MD5)
  Previous issue date: 1996",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/589,spa,,Ejercicios de devoción||Oración||Pastor adventista,"Relación entre la comunión personal del pastor con Dios, su vocación pastoral y la presión de trabajo en los obreros de la asociación durante el año eclesiástico 1994-1995",info:eu-repo/semantics/masterThesis
640bb013-c3d3-4a6e-82aa-7f96b256266e,20.500.11972/506,,"Valderrama Rincón, Alberto",,"García Gordillo, Bernardino",,2019-04-25T14:10:44Z,,2019-04-25T14:10:44Z,,2019,"El problema principal a investigar en este estudio fue el siguiente:
¿En qué medida el nivel de liderazgo juvenil se relaciona con el grado de actitud religiosa de los jóvenes adventistas millennials, de la zona de Cosoleacaque, en
la Asociación Veracruzana del Sur, en 2017?",Maestría en Liderazgo Juvenil,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2019-04-25T14:10:44Z
No. of bitstreams: 1
Tesis Bernardino García Gordillo.pdf: 2755573 bytes, checksum: c06f9fc8554761dc69eb1c1f4671e964 (MD5)||Made available in DSpace on 2019-04-25T14:10:44Z (GMT). No. of bitstreams: 1
Tesis Bernardino García Gordillo.pdf: 2755573 bytes, checksum: c06f9fc8554761dc69eb1c1f4671e964 (MD5)
  Previous issue date: 2019",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1037,spa,Liderazgo cristiano||Adolescentes - Aspectos religiosos - Cristianismo,,"Liderazgo juvenil y actitud religiosa en jóvenes adventistas millennials de la zona Cosoleacaque, Veracruz, México",info:eu-repo/semantics/masterThesis
e1793872-0f42-4f4a-9a39-c98f99daa0e5,20.500.11972/438,,"Valderrama Rincón, Alberto",,"Mendoza Barrera, Jaciel Isaí",,2020-09-30T20:22:29Z,,2020-09-30T20:22:29Z,,2020,"Esta investigación fue un estudio cuantitativo, descriptivo, no experimental y transversal. Se utilizó un instrumento elaborado por el Dr. Alberto Valderrama. La muestra estuvo constituida por 102 alumnos de primer y séptimo semestre, de la Facultad de Medicina y Educación de la Universidad de Montemorelos, Nuevo León, México. Como resultado, se encontró que la población estudiantil observada, tiene una actitud positiva hacia la Lección de la Escuela Sabática; en segundo lugar, y como resultado central, se encontró que existe diferencia significativa entre la actitud de los estudiantes de primer semestre y los estudiantes de séptimo semestre de la Facultad de Medicina y Educación frente a la Lección de la Escuela, Sabática, en el año 2019, siendo mejor la actitud de los estudiantes de primer semestre. Se concluye que, aunque los estudiantes de primer y séptimo semestre de la Facultad de Medicina y Educación tienen una actitud positiva hacia la Lección de la Escuela Sabática, existe diferencia significativa entre la actitud de los alumnos de primer semestre con los de séptimo, siendo mejor la de los de primer semestre.",Licenciatura en Teología,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2020-09-30T20:22:29Z
No. of bitstreams: 1
Mendoza Barrera, Jaciel Isaí.pdf: 2921469 bytes, checksum: 74f2b0cef49e361e0e78de78caf1fcc0 (MD5)||Made available in DSpace on 2020-09-30T20:22:29Z (GMT). No. of bitstreams: 1
Mendoza Barrera, Jaciel Isaí.pdf: 2921469 bytes, checksum: 74f2b0cef49e361e0e78de78caf1fcc0 (MD5)
  Previous issue date: 2020",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1279,spa,Vida espiritual||Adventistas del Séptimo Día,Estudiantes Universitarios,Actitud hacia la lección de escuela sabática por parte de alumnos de las Facultades de Medicina y Educación de la Universidad de Montemorelos,info:eu-repo/semantics/bachelorThesis
866c065f-8b5b-40d7-aa3a-80e94ee1489b,20.500.11972/438,,"Chacón, Emmer",,"Muñoz Barrera, Daniel",,2020-09-30T20:24:51Z,,2020-09-30T20:24:51Z,,2020,"Esta investigación es temática teológica. El tema del árbol de la vida se estudió a partir de la identificación de una pregunta que responder, para posteriormente hacerlo. Se utilizó la Biblia como base del estudio bajo los principios de sola, tota y prima Scriptura, comenzando siempre por ella para posteriormente analizar fuentes extra bíblicas e interpretarlas a partir de la base bíblica para determinar su aplicación práctica. Para que, mediante el análisis de la evidencia disponible, se pueda proporcionar una contribución a la solución de la interrogante previamente declarada. Como resultado, El árbol de la vida era un árbol literal y no metafórico; diferente al árbol del conocimiento. Tenía ciertas propiedades intrínsecas que permitían la extensión de días de Adán y Eva. Este árbol tenía que ser ingerido continuamente y Adán y Eva ciertamente lo consumieron antes de ser expulsados del Edén, ya que de no haberlo hecho hubiesen pecado, pues tanto no comer del árbol del conocimiento era un mandato, como el comer del árbol de la vida también lo era.",Licenciatura en Teología,"Submitted by Adriana Leuro (aleuro74@uan.edu.co) on 2020-09-30T20:24:51Z
No. of bitstreams: 1
Muñoz Barrera, Daniel.pdf: 2706850 bytes, checksum: bdd7bf41a4fe783e82c4be77c3147bbe (MD5)||Made available in DSpace on 2020-09-30T20:24:51Z (GMT). No. of bitstreams: 1
Muñoz Barrera, Daniel.pdf: 2706850 bytes, checksum: bdd7bf41a4fe783e82c4be77c3147bbe (MD5)
  Previous issue date: 2020",application/pdf,,https://dspace.um.edu.mx/handle/20.500.11972/1280,spa,Muerte||Inmortalidad,Árbol de la vida,"Teología del árbol de la vida, la muerte y la inmortalidad",info:eu-repo/semantics/bachelorThesis
